country,year,students
ABW,2013,2.0
ABW,2014,2.0
ABW,2015,1.0
AND,2016,2.0
AND,2017,1.0
AND,2018,2.0
AND,2019,2.0
AND,2020,1.0
AND,2023,3.0
AND,2024,4.0
ОАЭ,2011,331.0
ОАЭ,2012,286.0
ARG,2016,110.0
ARG,2017,131.0
ARG,2018,148.0
ARG,2019,148.0
ARG,2020,135.0
ARG,2021,145.0
ARG,2022,123.0
ARG,2023,185.0
Армения,2003,290.0
Армения,2004,662.0
Армения,2005,477.0
Армения,2006,680.0
Армения,2007,828.0
Армения,2008,967.0
Армения,2009,1331.0
Армения,2010,1175.0
Армения,2011,1140.0
Армения,2012,1062.0
Армения,2013,903.0
Армения,2014,1277.0
Армения,2015,1140.0
Армения,2016,1268.0
Армения,2017,1357.0
Армения,2018,1255.0
Армения,2019,1421.0
Армения,2020,1283.0
Армения,2021,1782.0
Армения,2022,2082.0
Армения,2023,1923.0
Армения,2024,2761.0
Австралия,2000,207.0
Австралия,2002,599.0
Австралия,2003,661.0
Австралия,2004,476.0
Австралия,2005,447.0
Австралия,2006,442.0
Австралия,2007,530.0
Австралия,2008,618.0
Австралия,2009,764.0
Австралия,2010,846.0
Австралия,2011,889.0
Австралия,2012,897.0
Австралия,2013,968.0
Австралия,2014,1028.0
Австралия,2015,880.0
Австралия,2016,859.0
Австралия,2017,737.0
Австралия,2018,796.0
Австралия,2019,708.0
Австралия,2020,590.0
Австралия,2021,473.0
Австралия,2022,477.0
Австралия,2023,589.0
Австралия,2024,683.0
Австрия,2000,300.0
Австрия,2001,341.0
Австрия,2002,263.0
Австрия,2003,278.0
Австрия,2004,338.0
Австрия,2006,418.0
Австрия,2007,522.0
Австрия,2008,587.5
Австрия,2009,753.0
Австрия,2010,858.0
Австрия,2011,975.0
Австрия,2012,754.0
Австрия,2013,1003.666687011719
Австрия,2014,939.173583984375
Австрия,2015,1128.004028320313
Австрия,2016,1257.006103515625
Австрия,2017,1389.966674804688
Австрия,2018,1447.449951171875
Австрия,2019,1479.247924804688
Австрия,2020,1538.8955078125
Австрия,2021,1674.37158203125
Австрия,2022,1792.999389648438
Австрия,2023,1949.85498046875
Австрия,2024,2345.48486328125
Азербайджан,2006,171.0
Азербайджан,2007,150.0
Азербайджан,2008,158.0
Азербайджан,2009,224.0
Азербайджан,2010,263.0
Азербайджан,2011,221.0
Азербайджан,2012,177.0
Азербайджан,2013,232.0
Азербайджан,2014,213.0
Азербайджан,2015,270.0
Азербайджан,2016,306.0
Азербайджан,2017,441.0
Азербайджан,2018,593.0
Азербайджан,2019,522.0
Азербайджан,2020,481.0
Азербайджан,2021,428.0
Азербайджан,2022,477.0
Азербайджан,2023,451.0
Азербайджан,2024,618.0
Бельгия,2000,143.0
Бельгия,2001,200.0
Бельгия,2002,271.0
Бельгия,2003,285.0
Бельгия,2005,89.0
Бельгия,2006,73.0
Бельгия,2007,132.0
Бельгия,2008,14.0
Бельгия,2009,152.0
Бельгия,2010,188.0
Бельгия,2011,244.0
Бельгия,2012,244.0
Бельгия,2013,273.0
Бельгия,2014,264.0
Бельгия,2015,213.0
Бельгия,2016,287.0
Бельгия,2017,302.0
Бельгия,2018,180.0
Бельгия,2019,43.0
Бельгия,2020,302.0
Бельгия,2021,316.0
Бельгия,2022,312.0
Бельгия,2023,284.0
BEN,2019,1.0
Болгария,2000,80.0
Болгария,2001,67.0
Болгария,2003,127.0
Болгария,2004,112.0
Болгария,2005,88.0
Болгария,2006,93.0
Болгария,2007,126.0
Болгария,2008,142.0
Болгария,2009,163.0
Болгария,2010,200.0
Болгария,2011,219.0
Болгария,2012,235.0
Болгария,2013,255.0
Болгария,2014,269.0
Болгария,2015,288.0
Болгария,2016,301.0
Болгария,2017,283.0
Болгария,2018,309.0
Болгария,2019,315.0
Болгария,2020,316.0
Болгария,2021,312.0
Болгария,2022,335.0
Болгария,2023,325.0
Болгария,2024,264.0
BHR,2003,1.0
BHR,2014,1.0
BHR,2015,2.0
BHR,2016,3.0
BHR,2017,5.0
BHR,2018,3.0
BHR,2019,3.0
BHR,2020,5.0
BHR,2021,4.0
BHR,2022,3.0
BHR,2023,3.0
BHR,2024,4.0
BIH,2013,4.0
BIH,2014,4.0
BIH,2015,6.0
BIH,2016,6.0
BIH,2017,4.0
BIH,2018,9.0
BIH,2019,6.0
BIH,2020,5.0
BIH,2021,7.0
BIH,2022,11.0
BIH,2023,21.0
Беларусь,2008,2622.0
Беларусь,2009,2546.0
Беларусь,2010,2543.0
Беларусь,2011,2596.0
Беларусь,2012,2567.0
Беларусь,2013,2061.0
Беларусь,2014,2128.0
Беларусь,2015,1953.0
Беларусь,2016,1578.0
Беларусь,2017,1647.0
Беларусь,2018,1952.0
Беларусь,2019,1796.0
Беларусь,2020,1912.0
Беларусь,2021,1902.0
Беларусь,2022,1756.0
Беларусь,2023,1804.0
Беларусь,2024,1901.0
BRA,2002,4.0
BRA,2003,2.0
BRA,2004,4.0
BRA,2009,40.0
BRA,2010,33.0
BRA,2011,36.0
BRA,2012,36.0
BRA,2014,47.0
BRA,2015,38.0
BRA,2016,34.0
BRA,2017,36.0
BRA,2018,45.0
BRA,2019,44.0
BRA,2020,47.0
BRA,2021,52.0
BRA,2022,56.0
BRA,2023,58.0
BRA,2024,61.0
BRB,2009,1.0
