region,shows,phrase
Москва и область,29,медицинский вуз за границей
Санкт-Петербург,4,медицинский вуз за границей
Центр,41,медицинский вуз за границей
Курск,1,медицинский вуз за границей
Тамбов,1,медицинский вуз за границей
Северо-Запад,7,медицинский вуз за границей
Юг,5,медицинский вуз за границей
Краснодар,3,медицинский вуз за границей
Ставрополь,1,медицинский вуз за границей
Волгоград,1,медицинский вуз за границей
Поволжье,18,медицинский вуз за границей
Нижний Новгород,7,медицинский вуз за границей
Урал,8,медицинский вуз за границей
Тюмень,2,медицинский вуз за границей
Ханты-Мансийск,1,медицинский вуз за границей
Сибирь,11,медицинский вуз за границей
Новосибирск,1,медицинский вуз за границей
Томск,1,медицинский вуз за границей
Дальний Восток,5,медицинский вуз за границей
Владивосток,2,медицинский вуз за границей
США,2,медицинский вуз за границей
Китай,1,медицинский вуз за границей
Беларусь,1,медицинский вуз за границей
Казахстан,1,медицинский вуз за границей
СНГ (исключая Россию),2,медицинский вуз за границей
Уфа,4,медицинский вуз за границей
Азия,1,медицинский вуз за границей
Брянск,7,медицинский вуз за границей
Воронеж,1,медицинский вуз за границей
Барнаул,1,медицинский вуз за границей
Москва,20,медицинский вуз за границей
Долгопрудный,1,медицинский вуз за границей
Россия,98,медицинский вуз за границей
Тольятти,2,медицинский вуз за границей
Братск,1,медицинский вуз за границей
Абакан,2,медицинский вуз за границей
Северная Америка,2,медицинский вуз за границей
Санкт-Петербург и Ленинградская область,6,медицинский вуз за границей
Гродно,1,медицинский вуз за границей
Брянская область,7,медицинский вуз за границей
Воронежская область,1,медицинский вуз за границей
Курская область,1,медицинский вуз за границей
Раменское,2,медицинский вуз за границей
Тамбовская область,1,медицинский вуз за границей
Тульская область,1,медицинский вуз за границей
Ярославская область,1,медицинский вуз за границей
Гатчина,1,медицинский вуз за границей
Новгородская область,1,медицинский вуз за границей
Волгоградская область,1,медицинский вуз за границей
Краснодарский край,4,медицинский вуз за границей
Республика Дагестан,2,медицинский вуз за границей
Ставропольский край,1,медицинский вуз за границей
Нижегородская область,7,медицинский вуз за границей
Республика Башкортостан,7,медицинский вуз за границей
Нефтекамск,1,медицинский вуз за границей
Республика Мордовия,1,медицинский вуз за границей
Самарская область,3,медицинский вуз за границей
Новокуйбышевск,1,медицинский вуз за границей
Асбест,1,медицинский вуз за границей
Свердловская область,2,медицинский вуз за границей
Нижний Тагил,1,медицинский вуз за границей
Тюменская область,2,медицинский вуз за границей
Урай,2,медицинский вуз за границей
Ханты-Мансийский автономный округ - Югра,4,медицинский вуз за границей
Алтайский край,1,медицинский вуз за границей
Иркутская область,1,медицинский вуз за границей
Красноярский край,1,медицинский вуз за границей
Новосибирская область,3,медицинский вуз за границей
Омская область,1,медицинский вуз за границей
Республика Бурятия,1,медицинский вуз за границей
Республика Хакасия,2,медицинский вуз за границей
Томская область,2,медицинский вуз за границей
Приморский край,2,медицинский вуз за границей
Нерюнгри,2,медицинский вуз за границей
Республика Саха (Якутия),2,медицинский вуз за границей
Реутов,1,медицинский вуз за границей
Алматы и область,1,медицинский вуз за границей
Гродно и область,1,медицинский вуз за границей
Истра (городской округ),1,медицинский вуз за границей
Одинцовский район,1,медицинский вуз за границей
Раменский район,2,медицинский вуз за границей
Всеволожский район,1,медицинский вуз за границей
Гатчинский район,1,медицинский вуз за границей
Нерюнгринский район,2,медицинский вуз за границей
Северный Кавказ,3,медицинский вуз за границей
Енбекшиказахский район,1,медицинский вуз за границей
Москва и область,9,mba за рубежом
Санкт-Петербург,5,mba за рубежом
Центр,9,mba за рубежом
Северо-Запад,5,mba за рубежом
Поволжье,2,mba за рубежом
Казань,2,mba за рубежом
Урал,1,mba за рубежом
Екатеринбург,1,mba за рубежом
Москва,8,mba за рубежом
Россия,17,mba за рубежом
Санкт-Петербург и Ленинградская область,5,mba за рубежом
Республика Татарстан,2,mba за рубежом
Свердловская область,1,mba за рубежом
Раменский район,1,mba за рубежом
Москва и область,5,лингвистика за рубежом
Санкт-Петербург,5,лингвистика за рубежом
Центр,5,лингвистика за рубежом
Северо-Запад,8,лингвистика за рубежом
Великий Новгород,3,лингвистика за рубежом
Юг,3,лингвистика за рубежом
Волгоград,1,лингвистика за рубежом
Поволжье,1,лингвистика за рубежом
Нижний Новгород,1,лингвистика за рубежом
Урал,2,лингвистика за рубежом
Сибирь,3,лингвистика за рубежом
Новосибирск,2,лингвистика за рубежом
Омск,1,лингвистика за рубежом
Москва,3,лингвистика за рубежом
Россия,23,лингвистика за рубежом
Сочи,1,лингвистика за рубежом
Санкт-Петербург и Ленинградская область,5,лингвистика за рубежом
Новгородская область,3,лингвистика за рубежом
Волгоградская область,1,лингвистика за рубежом
Краснодарский край,2,лингвистика за рубежом
Ставропольский край,1,лингвистика за рубежом
Нижегородская область,1,лингвистика за рубежом
Тюменская область,2,лингвистика за рубежом
Новосибирская область,2,лингвистика за рубежом
Омская область,1,лингвистика за рубежом
Тимашевск,1,лингвистика за рубежом
Ленинский район,1,лингвистика за рубежом
Одинцовский район,1,лингвистика за рубежом
Тимашевский район,1,лингвистика за рубежом
Северный Кавказ,1,лингвистика за рубежом
Москва и область,5204,мотивационное письмо
Санкт-Петербург,1403,мотивационное письмо
Центр,5917,мотивационное письмо
Белгород,62,мотивационное письмо
Иваново,9,мотивационное письмо
Калуга,14,мотивационное письмо
Кострома,18,мотивационное письмо
Курск,17,мотивационное письмо
Липецк,21,мотивационное письмо
Орёл,14,мотивационное письмо
Рязань,14,мотивационное письмо
Смоленск,13,мотивационное письмо
Тамбов,3,мотивационное письмо
Тверь,22,мотивационное письмо
Тула,8,мотивационное письмо
Ярославль,20,мотивационное письмо
Северо-Запад,1990,мотивационное письмо
Петрозаводск,32,мотивационное письмо
Сыктывкар,9,мотивационное письмо
Архангельск,21,мотивационное письмо
Вологда,20,мотивационное письмо
Калининград,189,мотивационное письмо
Мурманск,15,мотивационное письмо
Великий Новгород,21,мотивационное письмо
Псков,15,мотивационное письмо
Юг,815,мотивационное письмо
Махачкала,8,мотивационное письмо
Нальчик,2,мотивационное письмо
Владикавказ,21,мотивационное письмо
Краснодар,143,мотивационное письмо
Ставрополь,18,мотивационное письмо
Астрахань,42,мотивационное письмо
