Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «апостиль диплома» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;1 439;0,0000718;183,978;
Санкт-Петербург;477;0,0000881;225,655;
Центр;1 719;0,0000514;131,757;
Белгород;15;0,0000397;101,805;
Иваново;4;0,0000113;29,046;
Калуга;13;0,0000334;85,532;
Кострома;8;0,0000326;83,725;
Курск;9;0,0000188;48,222;
Липецк;18;0,0000407;104,287;
Орёл;1;0,0000033;8,466;
Рязань;12;0,0000222;56,908;
Смоленск;7;0,0000310;79,426;
Тамбов;13;0,0000461;118,151;
Тверь;1;0,0000024;6,172;
Тула;7;0,0000136;35,046;
Ярославль;6;0,0000163;41,766;
Северо-Запад;661;0,0000589;150,849;
Петрозаводск;2;0,0000091;23,390;
Сыктывкар;3;0,0000150;38,462;
Архангельск;26;0,0000967;247,648;
Вологда;6;0,0000194;49,823;
Калининград;26;0,0000690;176,688;
Мурманск;3;0,0000128;33,003;
Великий Новгород;5;0,0000238;61,106;
Псков;1;0,0000055;14,132;
Юг;258;0,0000282;72,285;
Махачкала;16;0,0000549;140,692;
Нальчик;3;0,0000188;48,175;
Владикавказ;4;0,0000287;73,548;
Краснодар;78;0,0000550;140,978;
Ставрополь;17;0,0000338;86,589;
Астрахань;4;0,0000122;31,328;
Волгоград;30;0,0000373;95,607;
Ростов-на-Дону;42;0,0000340;87,140;
Поволжье;401;0,0000216;55,432;
Саранск;1;0,0000041;10,533;
Казань;42;0,0000380;97,413;
Ижевск;10;0,0000185;47,476;
Чебоксары;20;0,0000451;115,506;
Киров;13;0,0000267;68,535;
Нижний Новгород;49;0,0000305;78,165;
Оренбург;21;0,0000410;105,017;
Пенза;25;0,0000532;136,295;
Пермь;30;0,0000350;89,804;
Самара;47;0,0000471;120,726;
Урал;231;0,0000269;69,060;
Курган;4;0,0000180;46,322;
Екатеринбург;78;0,0000427;109,523;
Тюмень;23;0,0000290;74,340;
Челябинск;47;0,0000461;118,108;
Ханты-Мансийск;4;0,0000306;78,516;
Сибирь;220;0,0000209;53,677;
Красноярск;24;0,0000242;62,140;
Иркутск;26;0,0000432;110,796;
Кемерово;6;0,0000140;35,893;
Новосибирск;61;0,0000386;98,978;
Омск;29;0,0000345;88,430;
Томск;6;0,0000161;41,228;
Чита;2;0,0000071;18,380;
Дальний Восток;72;0,0000189;48,485;
Якутск;4;0,0000221;56,713;
Владивосток;20;0,0000479;122,743;
Хабаровск;14;0,0000348;89,327;
Благовещенск;3;0,0000208;53,481;
Петропавловск-Камчатский;1;0,0000099;25,416;
Магадан;2;0,0000388;99,472;
Южно-Сахалинск;4;0,0000305;78,176;
США;8;0,0000727;186,177;
Вашингтон;4;0,0001117;286,128;
Аргентина;1;0,0003030;776,013;
Германия;37;0,0002691;689,115;
Великобритания;2;0,0000366;93,862;
Европа;217;0,0003055;800,573;
Австрия;7;0,0005742;1 470,388;
Болгария;1;0,0000929;237,889;
Венгрия;5;0,0010117;2 590,716;
