Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «виза для учебы» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;188;0,00000938;156,58;
Санкт-Петербург;40;0,00000738;123,27;
Центр;256;0,00000766;127,82;
Белгород;3;0,00000795;132,64;
Иваново;1;0,00000283;47,30;
Калуга;4;0,00001027;171,44;
Кострома;2;0,00000817;136,35;
Липецк;1;0,00000226;37,74;
Орёл;5;0,00001653;275,76;
Рязань;7;0,00001296;216,26;
Смоленск;1;0,00000443;73,91;
Тамбов;2;0,00000709;118,41;
Тверь;6;0,00001446;241,27;
Тула;2;0,00000391;65,23;
Северо-Запад;63;0,00000561;93,66;
Петрозаводск;5;0,00002283;380,94;
Архангельск;2;0,00000743;124,10;
Вологда;1;0,00000324;54,09;
Калининград;1;0,00000265;44,27;
Мурманск;1;0,00000429;71,66;
Юг;52;0,00000568;94,91;
Нальчик;2;0,00001254;209,22;
Владикавказ;1;0,00000718;119,78;
Краснодар;20;0,00001411;235,49;
Ставрополь;5;0,00000994;165,91;
Астрахань;2;0,00000611;102,04;
Волгоград;2;0,00000248;41,52;
Ростов-на-Дону;3;0,00000243;40,54;
Поволжье;96;0,00000518;86,45;
Йошкар-Ола;2;0,00000968;161,52;
Саранск;1;0,00000411;68,62;
Казань;18;0,00001630;271,97;
Ижевск;1;0,00000185;30,92;
Чебоксары;1;0,00000225;37,62;
Киров;1;0,00000205;34,34;
Нижний Новгород;4;0,00000249;41,56;
Оренбург;2;0,00000390;65,15;
Пермь;9;0,00001052;175,51;
Самара;7;0,00000702;117,13;
Урал;39;0,00000455;75,95;
Екатеринбург;11;0,00000603;100,62;
Тюмень;3;0,00000378;63,16;
Челябинск;4;0,00000392;65,48;
Ханты-Мансийск;2;0,00001533;255,74;
Сибирь;34;0,00000323;54,04;
Красноярск;7;0,00000707;118,07;
Иркутск;3;0,00000499;83,28;
Кемерово;1;0,00000233;38,97;
Новосибирск;13;0,00000823;137,41;
Омск;2;0,00000238;39,73;
Чита;1;0,00000358;59,87;
Дальний Восток;22;0,00000578;96,51;
Якутск;2;0,00001107;184,73;
Владивосток;4;0,00000958;159,92;
Хабаровск;3;0,00000747;124,70;
Южно-Сахалинск;1;0,00000763;127,32;
США;2;0,00001817;303,21;
Германия;1;0,00000727;121,33;
Европа;15;0,00002112;352,39;
Болгария;6;0,00055740;9 298,50;
Нидерланды;2;0,00001880;313,71;
Китай;3;0,00003473;579,37;
Япония;1;0,00005506;918,52;
Симферополь;1;0,00000252;42,19;
Беларусь;12;0,00000485;101,23;
Брест;2;0,00001764;294,30;
Витебск;1;0,00000710;118,57;
Гомель;4;0,00002149;358,60;
Минск;6;0,00000752;125,53;
Казахстан;13;0,00000767;147,67;
Астана;1;0,00000425;70,90;
Караганда;5;0,00006167;1 028,87;
Семей;3;0,00008495;1 417,15;
СНГ (исключая Россию);29;0,00000598;116,97;
Грузия;1;0,00001684;280,95;
Узбекистан;2;0,00002841;474,08;
Уфа;3;0,00000308;51,39;
Сербия;2;0,00010809;1 803,24;
Азия;7;0,00001838;306,75;
Воронеж;2;0,00000207;34,64;
Саратов;2;0,00000254;42,44;
Ульяновск;2;0,00000416;69,44;
Барнаул;1;0,00000179;30,00;
Улан-Удэ;1;0,00000340;56,84;
Молдова;2;0,00002849;475,39;
Москва;131;0,00001098;183,29;
Долгопрудный;2;0,00001599;266,84;
Россия;586;0,00000595;98,51;
Магнитогорск;1;0,00000415;69,24;
Набережные Челны;6;0,00001831;305,46;
Новокузнецк;1;0,00000325;54,29;
Новочеркасск;5;0,00004474;746,44;
Сочи;3;0,00000642;107,22;
Тольятти;9;0,00002176;363,08;
Обнинск;3;0,00002836;473,25;
Новороссийск;1;0,00000523;87,32;
Братск;2;0,00001623;270,86;
Республика Крым;5;0,00000308;51,41;
Турция;2;0,00002008;335,00;
Таиланд;2;0,00006096;1 016,98;
Майкоп;1;0,00001096;182,86;
Анапа;1;0,00000861;143,75;
Северная Америка;2;0,00001579;263,49;
Португалия;2;0,00055955;9 334,38;
Санкт-Петербург и Ленинградская область;46;0,00000654;109,18;
Республика Тыва;1;0,00000716;119,49;
Батуми;1;0,00008331;1 389,90;
Ташкент;2;0,00008813;1 470,20;
Белград;1;0,00008086;1 348,91;
Белгородская область;4;0,00000365;60,92;
Брянская область;1;0,00000129;21,61;
Владимирская область;15;0,00001467;244,76;
Гусь-Хрустальный;3;0,00008203;1 368,44;
Ковров;1;0,00001017;169,66;
Воронежская область;4;0,00000238;39,72;
Ивановская область;5;0,00000779;130,02;
Кинешма;1;0,00002237;373,20;
Калужская область;8;0,00000968;161,50;
Костромская область;2;0,00000489;81,72;
Липецкая область;2;0,00000260;43,52;
Балашиха;1;0,00000212;35,39;
Домодедово;1;0,00000692;115,53;
