Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «дизайн за рубежом» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;47;0,00000234;146,46;
Санкт-Петербург;21;0,00000387;242,14;
Центр;70;0,00000209;130,77;
Белгород;1;0,00000265;165,42;
Иваново;2;0,00000567;353,98;
Калуга;1;0,00000256;160,36;
Тула;1;0,00000195;122,02;
Ярославль;10;0,00002718;1 696,66;
Северо-Запад;25;0,00000222;139,06;
Калининград;1;0,00000265;165,63;
Мурманск;1;0,00000429;268,14;
Юг;16;0,00000175;109,26;
Махачкала;15;0,00005150;3 214,85;
Краснодар;7;0,00000494;308,37;
Ставрополь;1;0,00000198;124,14;
Волгоград;3;0,00000373;233,02;
Поволжье;12;0,00000064;40,43;
Саранск;2;0,00000822;513,48;
Казань;3;0,00000271;169,59;
Ижевск;1;0,00000185;115,71;
Оренбург;1;0,00000195;121,88;
Урал;18;0,00000210;131,16;
Екатеринбург;5;0,00000274;171,12;
Тюмень;3;0,00000378;236,34;
Челябинск;6;0,00000588;367,49;
Сибирь;4;0,00000038;23,78;
Иркутск;1;0,00000166;103,86;
Новосибирск;2;0,00000126;79,09;
Томск;1;0,00000268;167,47;
Дальний Восток;2;0,00000052;32,82;
Симферополь;1;0,00000252;157,88;
Беларусь;3;0,00000121;75,75;
Минск;3;0,00000376;234,83;
Казахстан;2;0,00000118;73,67;
Алматы;1;0,00000292;182,70;
СНГ (исключая Россию);5;0,00000103;64,36;
Уфа;1;0,00000102;64,09;
Владимир;1;0,00000261;163,00;
Воронеж;2;0,00000207;129,63;
Саратов;1;0,00000127;79,39;
Москва;34;0,00000285;177,98;
Долгопрудный;4;0,00003199;1 996,75;
Россия;168;0,00000170;105,94;
Магнитогорск;2;0,00000830;518,11;
Сочи;2;0,00000428;267,45;
Новороссийск;2;0,00001046;653,40;
Республика Крым;1;0,00000061;38,47;
Майкоп;1;0,00001096;684,14;
Санкт-Петербург и Ленинградская область;22;0,00000313;195,37;
Белгородская область;1;0,00000091;56,98;
Владимирская область;2;0,00000195;122,09;
Муром;1;0,00001292;806,52;
Воронежская область;2;0,00000119;74,30;
Ивановская область;2;0,00000311;194,58;
Калужская область;1;0,00000121;75,53;
Клин;1;0,00001618;1 010,11;
Коломна;1;0,00000904;564,25;
Химки;1;0,00000201;125,76;
Тульская область;1;0,00000096;60,38;
Ярославская область;14;0,00001485;927,11;
Калининградская область;1;0,00000168;104,96;
Мурманская область;1;0,00000202;126,55;
Республика Коми;1;0,00000212;132,85;
Инта;1;0,00009667;6 034,05;
Волгоградская область;3;0,00000202;126,45;
Краснодарский край;12;0,00000299;187,05;
Республика Адыгея;1;0,00000409;255,45;
Республика Дагестан;16;0,00002202;1 374,48;
Кисловодск;3;0,00005141;3 208,66;
Ставропольский край;4;0,00000271;169,45;
Нижегородская область;1;0,00000035;22,36;
Арзамас;1;0,00001445;902,22;
Оренбургская область;1;0,00000089;55,70;
Республика Башкортостан;2;0,00000087;54,88;
Республика Мордовия;2;0,00000470;293,93;
Республика Татарстан;3;0,00000123;77,04;
Самарская область;1;0,00000047;29,42;
Саратовская область;1;0,00000067;42,39;
Удмуртская Республика;1;0,00000105;65,85;
Свердловская область;6;0,00000177;110,92;
Новоуральск;1;0,00002153;1 344,25;
Тюменская область;4;0,00000341;213,23;
Челябинская область;8;0,00000368;230,16;
Иркутская область;1;0,00000067;42,22;
Новосибирская область;2;0,00000090;56,33;
Томская область;1;0,00000169;105,68;
Приморский край;1;0,00000113;70,77;
Республика Саха (Якутия);1;0,00000267;166,94;
Мелеуз;1;0,00003493;2 180,30;
Лыткарино;2;0,00004899;3 058,12;
Алматы и область;1;0,00000242;151,54;
Актау и Мангистауская область;1;0,00002352;1 468,23;
Актау;1;0,00003409;2 127,77;
Минск и область;3;0,00000275;171,78;
Клин (городской округ);1;0,00000957;597,73;
Всеволожский район;1;0,00000170;106,46;
Мелеузовский район;1;0,00002662;1 661,71;
Северный Кавказ;20;0,00000619;386,72;
