Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «магистратура за рубежом» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;243;0,00001213;206,19;
Санкт-Петербург;59;0,00001089;185,24;
Центр;271;0,00000811;137,85;
Калуга;2;0,00000513;87,33;
Курск;1;0,00000209;35,56;
Липецк;3;0,00000678;115,35;
Орёл;5;0,00001653;280,94;
Рязань;1;0,00000185;31,47;
Тамбов;1;0,00000354;60,32;
Тверь;2;0,00000482;81,93;
Ярославль;4;0,00001087;184,80;
Северо-Запад;80;0,00000712;121,17;
Сыктывкар;1;0,00000500;85,09;
Вологда;1;0,00000324;55,11;
Псков;1;0,00000551;93,79;
Юг;23;0,00000251;42,76;
Махачкала;2;0,00000686;116,72;
Владикавказ;1;0,00000718;122,03;
Краснодар;4;0,00000282;47,98;
Ставрополь;1;0,00000198;33,80;
Волгоград;5;0,00000622;105,75;
Ростов-на-Дону;4;0,00000324;55,08;
Поволжье;81;0,00000437;74,31;
Йошкар-Ола;1;0,00000484;82,27;
Саранск;1;0,00000411;69,91;
Казань;17;0,00001539;261,69;
Чебоксары;4;0,00000902;153,32;
Киров;2;0,00000411;69,97;
Нижний Новгород;15;0,00000934;158,81;
Пенза;3;0,00000638;108,55;
Пермь;9;0,00001052;178,80;
Самара;4;0,00000401;68,19;
Урал;40;0,00000467;79,36;
Екатеринбург;25;0,00001370;232,98;
Тюмень;1;0,00000126;21,45;
Сибирь;51;0,00000485;82,58;
Красноярск;9;0,00000910;154,65;
Иркутск;4;0,00000665;113,13;
Кемерово;1;0,00000233;39,70;
Новосибирск;13;0,00000823;139,99;
Омск;6;0,00000714;121,42;
Томск;11;0,00002951;501,65;
Чита;1;0,00000358;60,99;
Дальний Восток;11;0,00000289;49,16;
Якутск;3;0,00001661;282,30;
Владивосток;3;0,00000719;122,19;
Петропавловск-Камчатский;3;0,00002977;506,05;
США;1;0,00000908;154,45;
Вашингтон;1;0,00002793;474,75;
Германия;3;0,00002181;370,83;
Европа;7;0,00000985;167,53;
Литва;2;0,00011544;1 962,04;
Нидерланды;1;0,00000940;159,80;
Беларусь;7;0,00000283;48,13;
Минск;7;0,00000877;149,20;
Казахстан;45;0,00002655;471,41;
Алматы;16;0,00004683;796,02;
Астана;12;0,00005100;866,79;
Караганда;1;0,00001233;209,63;
СНГ (исключая Россию);58;0,00001196;210,30;
Уфа;3;0,00000308;52,36;
Берлин;1;0,00003623;615,85;
Азия;1;0,00000262;44,64;
Павлодар;5;0,00008015;1 362,17;
Владимир;1;0,00000261;44,38;
Воронеж;3;0,00000311;52,94;
Саратов;4;0,00000508;86,47;
Барнаул;1;0,00000179;30,57;
Улан-Удэ;1;0,00000340;57,90;
Кыргызстан;2;0,00001401;238,21;
Таджикистан;2;0,00001190;202,31;
Москва;181;0,00001518;258,00;
Зеленоград;2;0,00001825;310,17;
Россия;569;0,00000578;97,07;
Магнитогорск;1;0,00000415;70,54;
Набережные Челны;1;0,00000305;51,86;
Новокузнецк;1;0,00000325;55,31;
Новочеркасск;1;0,00000894;152,09;
Сочи;1;0,00000214;36,41;
