Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «медицинский вуз за границей» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;29;0,00000144;152,66;
Санкт-Петербург;4;0,00000073;77,91;
Центр;41;0,00000122;129,39;
Курск;1;0,00000209;220,61;
Тамбов;1;0,00000354;374,21;
Северо-Запад;7;0,00000062;65,77;
Юг;5;0,00000054;57,68;
Краснодар;3;0,00000211;223,25;
Ставрополь;1;0,00000198;209,72;
Волгоград;1;0,00000124;131,22;
Поволжье;18;0,00000097;102,45;
Нижний Новгород;7;0,00000436;459,78;
Урал;8;0,00000093;98,47;
Тюмень;2;0,00000252;266,17;
Ханты-Мансийск;1;0,00000766;808,21;
Сибирь;11;0,00000104;110,50;
Новосибирск;1;0,00000063;66,80;
Томск;1;0,00000268;282,92;
Дальний Восток;5;0,00000131;138,63;
Владивосток;2;0,00000479;505,39;
США;2;0,00001817;1 916,45;
Китай;1;0,00001157;1 220,63;
Беларусь;1;0,00000040;42,65;
Казахстан;1;0,00000059;62,22;
СНГ (исключая Россию);2;0,00000041;43,49;
Уфа;4;0,00000410;433,13;
Азия;1;0,00000262;276,97;
Брянск;7;0,00001623;1 711,87;
Воронеж;1;0,00000103;109,49;
Барнаул;1;0,00000179;189,65;
Москва;20;0,00000167;176,86;
Долгопрудный;1;0,00000799;843,29;
Россия;98;0,00000099;105,02;
Тольятти;2;0,00000483;509,96;
Братск;1;0,00000811;855,97;
Абакан;2;0,00001245;1 312,68;
Северная Америка;2;0,00001579;1 665,37;
Санкт-Петербург и Ленинградская область;6;0,00000085;90,01;
Гродно;1;0,00000885;934,00;
Брянская область;7;0,00000906;956,09;
Воронежская область;1;0,00000059;62,76;
Курская область;1;0,00000125;132,55;
Раменское;2;0,00001753;1 848,67;
Тамбовская область;1;0,00000168;177,52;
Тульская область;1;0,00000096;102,01;
Ярославская область;1;0,00000106;111,87;
Гатчина;1;0,00001429;1 507,13;
Новгородская область;1;0,00000252;266,59;
Волгоградская область;1;0,00000067;71,20;
Краснодарский край;4;0,00000099;105,33;
Республика Дагестан;2;0,00000275;290,24;
Ставропольский край;1;0,00000067;71,56;
Нижегородская область;7;0,00000250;264,41;
Республика Башкортостан;7;0,00000307;324,52;
Нефтекамск;1;0,00001291;1 361,90;
Республика Мордовия;1;0,00000235;248,27;
Самарская область;3;0,00000141;149,13;
Новокуйбышевск;1;0,00000970;1 023,23;
Асбест;1;0,00002755;2 905,47;
Свердловская область;2;0,00000059;62,46;
Нижний Тагил;1;0,00000483;509,82;
Тюменская область;2;0,00000170;180,11;
Урай;2;0,00008190;8 635,79;
Ханты-Мансийский автономный округ - Югра;4;0,00000371;391,60;
Алтайский край;1;0,00000080;85,28;
Иркутская область;1;0,00000067;71,32;
Красноярский край;1;0,00000053;56,44;
Новосибирская область;3;0,00000135;142,76;
Омская область;1;0,00000090;95,50;
Республика Бурятия;1;0,00000214;225,84;
Республика Хакасия;2;0,00000640;675,31;
Томская область;2;0,00000338;357,06;
Приморский край;2;0,00000226;239,12;
Нерюнгри;2;0,00006437;6 787,74;
Республика Саха (Якутия);2;0,00000534;564,05;
Реутов;1;0,00001020;1 076,03;
Алматы и область;1;0,00000242;256,01;
Гродно и область;1;0,00000487;514,18;
Истра (городской округ);1;0,00000499;526,88;
Одинцовский район;1;0,00000222;234,84;
Раменский район;2;0,00000687;725,36;
Всеволожский район;1;0,00000170;179,84;
Гатчинский район;1;0,00000601;634,61;
Нерюнгринский район;2;0,00005277;5 564,06;
Северный Кавказ;3;0,00000092;97,99;
Енбекшиказахский район;1;0,00011873;12 519,13;
