Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «мотивационное письмо» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;5 204;0,0002598;204,50;
Санкт-Петербург;1 403;0,0002591;204,00;
Центр;5 917;0,0001771;139,39;
Белгород;62;0,0001643;129,33;
Иваново;9;0,0000255;20,08;
Калуга;14;0,0000359;28,31;
Кострома;18;0,0000735;57,90;
Курск;17;0,0000355;27,99;
Липецк;21;0,0000475;37,39;
Орёл;14;0,0000462;36,43;
Рязань;14;0,0000259;20,40;
Смоленск;13;0,0000576;45,33;
Тамбов;3;0,0000106;8,38;
Тверь;22;0,0000530;41,73;
Тула;8;0,0000156;12,31;
Ярославль;20;0,0000543;42,79;
Северо-Запад;1 990;0,0001773;139,58;
Петрозаводск;32;0,0001461;115,02;
Сыктывкар;9;0,0000450;35,46;
Архангельск;21;0,0000781;61,48;
Вологда;20;0,0000648;51,04;
Калининград;189;0,0005015;394,77;
Мурманск;15;0,0000644;50,72;
Великий Новгород;21;0,0001002;78,88;
Псков;15;0,0000827;65,15;
Юг;815;0,0000891;70,18;
Махачкала;8;0,0000274;21,62;
Нальчик;2;0,0000125;9,87;
Владикавказ;21;0,0001507;118,68;
Краснодар;143;0,0001009;79,44;
Ставрополь;18;0,0000358;28,18;
Астрахань;42;0,0001284;101,10;
Волгоград;63;0,0000784;61,71;
Ростов-на-Дону;187;0,0001515;119,25;
Поволжье;2 157;0,0001164;91,64;
Йошкар-Ола;10;0,0000484;38,10;
Саранск;2;0,0000082;6,47;
Казань;265;0,0002400;188,91;
Ижевск;49;0,0000908;71,50;
Чебоксары;59;0,0001330;104,73;
Киров;33;0,0000679;53,47;
Нижний Новгород;332;0,0002068;162,78;
Оренбург;25;0,0000488;38,42;
Пенза;26;0,0000553;43,56;
Пермь;71;0,0000830;65,32;
Самара;53;0,0000531;41,84;
Урал;580;0,0000677;53,29;
Курган;6;0,0000271;21,35;
Екатеринбург;156;0,0000855;67,32;
Тюмень;66;0,0000833;65,56;
Челябинск;98;0,0000961;75,69;
Ханты-Мансийск;29;0,0002222;174,96;
Салехард;4;0,0000816;64,29;
Сибирь;858;0,0000817;64,34;
Красноярск;94;0,0000950;74,80;
Иркутск;89;0,0001481;116,57;
Кемерово;36;0,0000841;66,19;
Новосибирск;107;0,0000678;53,36;
Омск;66;0,0000785;61,85;
Томск;71;0,0001905;149,95;
Чита;15;0,0000538;42,37;
Дальний Восток;397;0,0001044;82,17;
Якутск;83;0,0004595;361,70;
Владивосток;44;0,0001054;82,99;
Хабаровск;34;0,0000847;66,67;
Благовещенск;12;0,0000835;65,75;
Петропавловск-Камчатский;1;0,0000099;7,81;
Магадан;5;0,0000971;76,43;
Южно-Сахалинск;11;0,0000839;66,07;
США;9;0,0000817;64,37;
Вашингтон;3;0,0000838;65,95;
Аргентина;1;0,0003030;238,51;
Германия;37;0,0002691;211,80;
Великобритания;10;0,0001832;144,24;
Европа;114;0,0001605;128,57;
Австрия;8;0,0006562;516,50;
Нидерланды;9;0,0000846;66,60;
Норвегия;3;0,0005662;445,68;
Польша;8;0,0002349;184,93;
Словакия;1;0,0003917;308,36;
Финляндия;2;0,0000739;58,18;
