Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «нострификация диплома» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;748;0,0000373;171,78;
Санкт-Петербург;173;0,0000319;147,00;
Центр;951;0,0000284;130,93;
Белгород;3;0,0000079;36,57;
Иваново;5;0,0000141;65,21;
Калуга;11;0,0000282;130,00;
Кострома;2;0,0000081;37,59;
Курск;13;0,0000272;125,11;
Липецк;2;0,0000045;20,81;
Орёл;21;0,0000694;319,35;
Рязань;17;0,0000314;144,81;
Тамбов;5;0,0000177;81,62;
Тверь;12;0,0000289;133,05;
Тула;7;0,0000136;62,95;
Ярославль;3;0,0000081;37,51;
Северо-Запад;248;0,0000221;101,66;
Петрозаводск;3;0,0000137;63,02;
Сыктывкар;1;0,0000050;23,02;
Архангельск;1;0,0000037;17,10;
Вологда;2;0,0000064;29,83;
Калининград;16;0,0000424;195,31;
Мурманск;11;0,0000472;217,37;
Великий Новгород;1;0,0000047;21,95;
Юг;143;0,0000156;71,96;
Махачкала;2;0,0000068;31,59;
Нальчик;1;0,0000062;28,84;
Владикавказ;2;0,0000143;66,05;
Краснодар;38;0,0000268;123,37;
Ставрополь;9;0,0000179;82,34;
Астрахань;4;0,0000122;56,27;
Волгоград;18;0,0000224;103,04;
Ростов-на-Дону;20;0,0000162;74,53;
Поволжье;204;0,0000110;50,65;
Йошкар-Ола;1;0,0000048;22,26;
Казань;36;0,0000326;149,98;
Ижевск;5;0,0000092;42,64;
Чебоксары;7;0,0000157;72,61;
Киров;1;0,0000020;9,46;
Нижний Новгород;19;0,0000118;54,44;
Оренбург;11;0,0000214;98,81;
Пенза;3;0,0000063;29,37;
Пермь;9;0,0000105;48,39;
Самара;21;0,0000210;96,89;
Урал;107;0,0000124;57,46;
Курган;1;0,0000045;20,80;
Екатеринбург;21;0,0000115;52,96;
Тюмень;23;0,0000290;133,53;
Челябинск;17;0,0000166;76,73;
Ханты-Мансийск;7;0,0000536;246,81;
Сибирь;125;0,0000119;54,78;
Красноярск;14;0,0000141;65,11;
Иркутск;4;0,0000066;30,61;
Кемерово;3;0,0000070;32,23;
Новосибирск;34;0,0000215;99,09;
Омск;24;0,0000285;131,45;
Томск;18;0,0000483;222,17;
Дальний Восток;36;0,0000094;45,96;
Якутск;4;0,0000221;101,87;
Владивосток;15;0,0000359;165,36;
Хабаровск;5;0,0000124;57,30;
Южно-Сахалинск;3;0,0000228;105,32;
США;3;0,0000272;125,40;
Вашингтон;1;0,0000279;128,49;
Европа;57;0,0000802;382,18;
Австрия;1;0,0000820;377,31;
Венгрия;1;0,0002023;930,72;
Нидерланды;1;0,0000094;43,25;
Польша;1;0,0000293;135,10;
Финляндия;1;0,0000369;170,03;
Чехия;2;0,0001717;790,03;
Тель-Авив;2;0,0004287;1 972,10;
Китай;3;0,0000347;159,75;
Симферополь;30;0,0000758;349,06;
Беларусь;46;0,0000186;102,35;
Витебск;7;0,0000497;228,85;
Гомель;3;0,0000161;74,15;
Минск;23;0,0000288;132,68;
Казахстан;218;0,0001286;637,94;
Алматы;35;0,0001024;471,28;
Астана;63;0,0002677;1 231,62;
Караганда;8;0,0000986;453,90;
СНГ (исключая Россию);308;0,0000635;318,75;
Азербайджан;1;0,0000174;80,42;
Армения;1;0,0000147;67,93;
Узбекистан;19;0,0002699;1 372,57;
Уфа;30;0,0000308;141,71;
Сербия;36;0,0019457;8 949,77;
Израиль;2;0,0000854;392,82;
Азия;15;0,0000394;181,24;
Павлодар;2;0,0000320;147,46;
Владимир;4;0,0000104;48,05;
Воронеж;15;0,0000155;71,65;
Саратов;8;0,0000101;46,80;
Ульяновск;10;0,0000208;95,74;
Барнаул;10;0,0000179;82,73;
Улан-Удэ;1;0,0000034;15,67;
Испания;2;0,0000940;432,74;
Кыргызстан;1;0,0000070;32,23;
Молдова;10;0,0001424;655,40;
Таджикистан;12;0,0000714;328,53;
Объединённые Арабские Эмираты;1;0,0000526;242,23;
Москва;514;0,0000431;198,30;
Долгопрудный;4;0,0000319;147,15;
Дубна;1;0,0000176;81,28;
Зеленоград;2;0,0000182;83,94;
Пущино;2;0,0001628;748,92;
Шымкент;6;0,0000839;386,00;
Россия;1 920;0,0000195;86,07;
Новокузнецк;5;0,0000162;74,84;
Сочи;11;0,0000235;108,40;
Тольятти;1;0,0000024;11,12;
Севастополь;21;0,0000577;265,76;
Обнинск;9;0,0000851;391,46;
Новороссийск;5;0,0000261;120,38;
Таганрог;2;0,0000108;50,08;
Сургут;2;0,0000067;30,92;
Находка;1;0,0000162;74,66;
Республика Крым;81;0,0000499;229,67;
Турция;1;0,0000100;46,18;
Таиланд;1;0,0000304;140,20;
Нижневартовск;8;0,0000468;215,72;
Абакан;1;0,0000062;28,63;
Черкесск;3;0,0000427;196,53;
Северная Америка;3;0,0000236;108,97;
Южная Америка;2;0,0001003;461,73;
Босния и Герцеговина;3;0,0036214;16 657,72;
Вьетнам;7;0,0002259;1 039,38;
Санкт-Петербург и Ленинградская область;199;0,0000283;130,24;
Баку;1;0,0000274;126,45;
Ереван;1;0,0000237;109,09;
Гродно;2;0,0000177;81,49;
Атырау;10;0,0002838;1 305,63;
Костанай;8;0,0001354;623,09;
Петропавловск;23;0,0005587;2 569,85;
Рудный;1;0,0000557;256,50;
Талдыкорган;1;0,0000586;269,69;
Усть-Каменогорск;4;0,0000693;318,81;
Бухара;3;0,0020954;9 638,32;
Ташкент;5;0,0002203;1 013,44;
Вена;1;0,0001008;463,70;
Хельсинки;1;0,0000432;198,92;
Белград;17;0,0013746;6 322,93;
Иордания;1;0,0010550;4 852,87;
Белгородская область;14;0,0000127;58,79;
Старый Оскол;9;0,0000512;235,81;
Брянская область;2;0,0000025;11,91;
Владимирская область;10;0,0000097;44,99;
Муром;1;0,0000129;59,43;
Воронежская область;17;0,0000101;46,54;
Ивановская область;5;0,0000077;35,85;
Калужская область;36;0,0000435;200,39;
Малоярославец;1;0,0000363;167,19;
Костромская область;2;0,0000048;22,53;
Курская область;16;0,0000201;92,52;
Липецкая область;8;0,0000104;48,00;
Елец;1;0,0000149;68,60;
Балашиха;30;0,0000636;292,75;
Домодедово;6;0,0000415;191,14;
Звенигород;4;0,0001059;487,47;
Кашира;1;0,0000356;163,96;
Клин;2;0,0000323;148,88;
Коломна;1;0,0000090;41,58;
Красногорск;11;0,0000712;327,88;
Люберцы;2;0,0000079;36,72;
Можайск;2;0,0000943;433,99;
Мытищи;5;0,0000182;83,85;
Наро-Фоминск;10;0,0002242;1 031,30;
Ногинск;2;0,0000224;103,29;
Одинцово;11;0,0000609;280,48;
Орехово-Зуево;6;0,0000787;362,00;
Павловский Посад;3;0,0000674;310,32;
Подольск;2;0,0000075;34,71;
Пушкино;2;0,0000171;78,69;
Серпухов;1;0,0000102;47,15;
Химки;23;0,0000463;213,17;
Щёлково;4;0,0000309;142,29;
Орловская область;23;0,0000452;208,25;
Рязанская область;20;0,0000237;109,34;
Тамбовская область;10;0,0000168;77,44;
Тверская область;19;0,0000219;101,17;
Новомосковск;5;0,0000573;263,58;
Тульская область;14;0,0000135;62,30;
Ярославская область;7;0,0000074;34,16;
Архангельская область;3;0,0000046;21,54;
Вологодская область;3;0,0000037;17,20;
Калининградская область;23;0,0000386;177,92;
Всеволожск;5;0,0000692;318,65;
Гатчина;2;0,0000285;131,49;
Кировск;1;0,0000184;84,79;
Апатиты;1;0,0000291;134,22;
Мурманская область;12;0,0000243;111,92;
Новгородская область;1;0,0000025;11,63;
Псковская область;1;0,0000025;11,67;
Республика Карелия;3;0,0000080;37,12;
Республика Коми;3;0,0000063;29,37;
Печора;2;0,0000999;459,55;
Астраханская область;4;0,0000083;38,47;
Волгоградская область;23;0,0000155;71,45;
Волжский;5;0,0000264;121,79;
Геленджик;2;0,0000281;129,40;
Краснодарский край;65;0,0000162;74,67;
Республика Дагестан;5;0,0000068;31,65;
