Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «обучение в германии» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;672;0,0000335;131,021;
Санкт-Петербург;191;0,0000352;137,793;
Центр;947;0,0000283;110,692;
Белгород;29;0,0000768;300,156;
Иваново;9;0,0000255;99,665;
Калуга;13;0,0000334;130,436;
Кострома;7;0,0000286;111,720;
Курск;12;0,0000251;98,050;
Липецк;15;0,0000339;132,530;
Орёл;5;0,0000165;64,553;
Рязань;11;0,0000203;79,552;
Смоленск;1;0,0000044;17,303;
Тамбов;6;0,0000212;83,159;
Тверь;4;0,0000096;37,653;
Тула;3;0,0000058;22,905;
Ярославль;18;0,0000489;191,080;
Северо-Запад;362;0,0000322;125,985;
Петрозаводск;2;0,0000091;35,669;
Сыктывкар;1;0,0000050;19,551;
Архангельск;3;0,0000111;43,576;
Вологда;3;0,0000097;37,989;
Калининград;11;0,0000291;113,997;
Мурманск;4;0,0000171;67,107;
Великий Новгород;6;0,0000286;111,823;
Псков;5;0,0000275;107,762;
Юг;244;0,0000266;104,253;
Махачкала;3;0,0000103;40,229;
Нальчик;1;0,0000062;24,489;
Владикавказ;1;0,0000071;28,040;
Краснодар;48;0,0000338;132,302;
Ставрополь;4;0,0000079;31,070;
Астрахань;3;0,0000091;35,832;
Волгоград;13;0,0000161;63,180;
Ростов-на-Дону;54;0,0000437;170,856;
Поволжье;403;0,0000217;84,955;
Йошкар-Ола;3;0,0000145;56,716;
Саранск;3;0,0000123;48,190;
Казань;49;0,0000443;173,314;
Ижевск;10;0,0000185;72,401;
Чебоксары;4;0,0000090;35,229;
Киров;7;0,0000144;56,277;
Нижний Новгород;39;0,0000242;94,875;
Оренбург;9;0,0000175;68,636;
Пенза;6;0,0000127;49,883;
Пермь;27;0,0000315;123,255;
Самара;19;0,0000190;74,426;
Урал;182;0,0000212;82,976;
Курган;2;0,0000090;35,320;
Екатеринбург;50;0,0000274;107,065;
Тюмень;27;0,0000340;133,085;
Челябинск;27;0,0000264;103,469;
Ханты-Мансийск;5;0,0000383;149,670;
Салехард;4;0,0000816;318,978;
Сибирь;206;0,0000196;76,649;
Красноярск;23;0,0000232;90,815;
Иркутск;8;0,0000133;51,988;
Кемерово;18;0,0000420;164,210;
Новосибирск;33;0,0000209;81,656;
Омск;20;0,0000238;93,003;
Томск;10;0,0000268;104,787;
Чита;19;0,0000681;266,291;
Дальний Восток;106;0,0000278;108,855;
Якутск;11;0,0000609;237,841;
Владивосток;15;0,0000359;140,387;
Хабаровск;28;0,0000697;272,448;
Петропавловск-Камчатский;2;0,0000198;77,519;
Магадан;1;0,0000194;75,847;
США;1;0,0000090;35,489;
Германия;31;0,0002254;880,479;
Великобритания;1;0,0000183;71,569;
Европа;55;0,0000774;324,464;
Нидерланды;7;0,0000658;257,033;
Финляндия;2;0,0000739;288,710;
Швейцария;1;0,0001157;452,137;
Китай;2;0,0000231;90,417;
Симферополь;3;0,0000075;29,634;
Беларусь;33;0,0000133;55,297;
Гомель;5;0,0000268;104,930;
Минск;21;0,0000263;102,850;
Казахстан;48;0,0000283;110,624;
Алматы;10;0,0000292;114,316;
Астана;7;0,0000297;116,180;
Караганда;1;0,0000123;48,169;
СНГ (исключая Россию);93;0,0000191;76,512;
Армения;3;0,0000443;173,026;
Грузия;13;0,0002189;854,973;
Уфа;19;0,0000195;76,200;
Берлин;3;0,0001087;424,521;
Азия;27;0,0000709;276,974;
Брянск;1;0,0000023;9,057;
Владимир;10;0,0000261;101,985;
Воронеж;35;0,0000363;141,940;
Саратов;9;0,0000114;44,707;
Ульяновск;12;0,0000249;97,543;
Барнаул;6;0,0000107;42,146;
Улан-Удэ;8;0,0000272;106,447;
Испания;2;0,0000940;367,385;
Кыргызстан;3;0,0000210;82,102;
Молдова;5;0,0000712;278,211;
Объединённые Арабские Эмираты;1;0,0000526;205,654;
Москва;461;0,0000386;150,993;
Долгопрудный;1;0,0000079;31,232;
Дубна;1;0,0000176;69,007;
Зеленоград;2;0,0000182;71,269;
Черноголовка;4;0,0002670;1 042,783;
Россия;2 536;0,0000257;99,624;
Магнитогорск;12;0,0000498;194,501;
Набережные Челны;26;0,0000793;309,862;
Новокузнецк;6;0,0000195;76,252;
Сочи;4;0,0000085;33,467;
Тольятти;1;0,0000024;9,443;
Севастополь;9;0,0000247;96,697;
Череповец;3;0,0000126;49,232;
Новороссийск;2;0,0000104;40,882;
Таганрог;7;0,0000381;148,813;
Дзержинск (Нижегородская область);2;0,0000123;48,043;
Сургут;6;0,0000201;78,755;
Находка;5;0,0000811;316,924;
Бийск;1;0,0000083;32,583;
Республика Крым;26;0,0000160;62,588;
Турция;11;0,0001104;431,320;
Таиланд;4;0,0001219;476,126;
Туапсе;3;0,0000838;327,419;
Нижневартовск;1;0,0000058;22,892;
Назрань;1;0,0000412;161,039;
Майкоп;3;0,0000328;128,416;
Абакан;6;0,0000373;145,854;
Анапа;4;0,0000344;134,608;
Северная Америка;1;0,0000078;30,840;
Бангладеш;3;0,0005708;2 229,377;
Вьетнам;2;0,0000645;252,117;
Индонезия;1;0,0000401;156,634;
Монголия;1;0,0003802;1 484,880;
Санкт-Петербург и Ленинградская область;220;0,0000313;122,238;
Республика Алтай;6;0,0000480;187,831;
Республика Тыва;1;0,0000071;27,971;
Гюмри;1;0,0002149;839,327;
Гродно;3;0,0000265;103,778;
Орша;2;0,0000654;255,664;
Тбилиси;12;0,0003647;1 424,332;
Батуми;1;0,0000833;325,361;
Петропавловск;11;0,0002672;1 043,441;
Бишкек;1;0,0000125;49,126;
Ош;1;0,0000408;159,663;
Белгородская область;31;0,0000283;110,526;
Брянская область;2;0,0000025;10,117;
Владимирская область;12;0,0000117;45,836;
Ковров;1;0,0000101;39,715;
Муром;1;0,0000129;50,462;
Воронежская область;46;0,0000273;106,929;
Ивановская область;16;0,0000249;97,399;
Кинешма;2;0,0000447;174,724;
Шуя;1;0,0000296;115,868;
Калужская область;19;0,0000229;89,791;
Малоярославец;2;0,0000726;283,885;
Костромская область;7;0,0000171;66,961;
Курская область;24;0,0000301;117,827;
Железногорск;2;0,0000277;108,258;
Липецкая область;20;0,0000260;101,890;
Елец;1;0,0000149;58,245;
Апрелевка;1;0,0000328;128,152;
Балашиха;4;0,0000084;33,139;
Видное;3;0,0000322;125,769;
Волоколамск;2;0,0001031;402,942;
Домодедово;11;0,0000761;297,511;
Звенигород;1;0,0000264;103,464;
Истра;3;0,0000800;312,604;
Клин;4;0,0000647;252,801;
Красногорск;5;0,0000324;126,529;
Луховицы;2;0,0000865;337,849;
Люберцы;8;0,0000319;124,731;
Мытищи;15;0,0000546;213,584;
Ногинск;2;0,0000224;87,695;
Одинцово;2;0,0000110;43,295;
Павловский Посад;2;0,0000449;175,636;
Подольск;9;0,0000339;132,629;
Пушкино;1;0,0000085;33,406;
Раменское;4;0,0000350;136,939;
Сергиев Посад;2;0,0000191;74,597;
Серпухов;4;0,0000410;160,139;
Химки;21;0,0000423;165,240;
Шатура;1;0,0000857;334,934;
Щёлково;4;0,0000309;120,803;
