Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «обучение в италии» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;763;0,0000380;165,48;
Санкт-Петербург;204;0,0000376;163,71;
Центр;968;0,0000289;125,86;
Белгород;4;0,0000106;46,05;
Иваново;8;0,0000226;98,54;
Калуга;2;0,0000051;22,32;
Кострома;3;0,0000122;53,26;
Курск;13;0,0000272;118,16;
Липецк;6;0,0000135;58,97;
Орёл;9;0,0000297;129,25;
Рязань;8;0,0000148;64,35;
Смоленск;5;0,0000221;96,24;
Тамбов;2;0,0000070;30,83;
Тверь;10;0,0000241;104,71;
Тула;9;0,0000175;76,43;
Ярославль;2;0,0000054;23,61;
Северо-Запад;327;0,0000291;126,59;
Петрозаводск;5;0,0000228;99,19;
Сыктывкар;9;0,0000450;195,74;
Архангельск;3;0,0000111;48,47;
Вологда;1;0,0000032;14,08;
Калининград;13;0,0000345;149,86;
Мурманск;2;0,0000085;37,32;
Великий Новгород;5;0,0000238;103,66;
Псков;3;0,0000165;71,92;
Юг;206;0,0000225;97,90;
Махачкала;3;0,0000103;44,75;
Нальчик;14;0,0000877;381,38;
Владикавказ;6;0,0000430;187,15;
Краснодар;55;0,0000388;168,63;
Ставрополь;13;0,0000258;112,32;
Волгоград;16;0,0000199;86,50;
Ростов-на-Дону;36;0,0000291;126,70;
Поволжье;334;0,0000180;78,32;
Йошкар-Ола;2;0,0000096;42,06;
Саранск;1;0,0000041;17,86;
Казань;27;0,0000244;106,23;
Ижевск;15;0,0000278;120,80;
Чебоксары;8;0,0000180;78,37;
Киров;3;0,0000061;26,83;
Нижний Новгород;37;0,0000230;100,12;
Оренбург;10;0,0000195;84,83;
Пенза;11;0,0000234;101,73;
Пермь;21;0,0000245;106,64;
Самара;16;0,0000160;69,71;
Урал;175;0,0000204;88,75;
Курган;2;0,0000090;39,29;
Екатеринбург;82;0,0000449;195,32;
Тюмень;18;0,0000227;98,69;
Челябинск;18;0,0000176;76,73;
Ханты-Мансийск;2;0,0000153;66,59;
Сибирь;167;0,0000159;69,12;
Красноярск;24;0,0000242;105,41;
Иркутск;11;0,0000183;79,51;
Кемерово;14;0,0000327;142,07;
Новосибирск;31;0,0000196;85,32;
Омск;9;0,0000107;46,55;
Томск;7;0,0000187;81,59;
Чита;7;0,0000251;109,13;
Дальний Восток;69;0,0000181;79,96;
Якутск;6;0,0000332;144,31;
Владивосток;2;0,0000047;20,82;
Хабаровск;4;0,0000099;43,29;
Петропавловск-Камчатский;3;0,0000297;129,34;
Магадан;1;0,0000194;84,37;
США;2;0,0000181;78,95;
Германия;2;0,0000145;63,19;
Великобритания;1;0,0000183;79,61;
Европа;26;0,0000366;171,29;
Нидерланды;5;0,0000470;204,23;
Швейцария;2;0,0002315;1 005,91;
Швеция;2;0,0001641;712,89;
Хайфа;2;0,0007539;3 274,97;
Китай;3;0,0000347;150,87;
Австралия и Океания;1;0,0001733;753,14;
Симферополь;9;0,0000227;98,89;
Беларусь;32;0,0000129;75,57;
Брест;1;0,0000088;38,31;
Витебск;1;0,0000071;30,87;
