Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «обучение в канаде» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;223;0,0000111;164,28;
Санкт-Петербург;52;0,0000096;141,74;
Центр;269;0,0000080;118,80;
Калуга;3;0,0000077;113,73;
Курск;2;0,0000041;61,74;
Липецк;3;0,0000067;100,15;
Орёл;4;0,0000132;195,13;
Рязань;6;0,0000111;163,95;
Смоленск;5;0,0000221;326,91;
Тамбов;1;0,0000035;52,37;
Тверь;1;0,0000024;35,56;
Тула;1;0,0000019;28,84;
Ярославль;2;0,0000054;80,22;
Северо-Запад;80;0,0000071;105,20;
Сыктывкар;2;0,0000100;147,75;
Архангельск;1;0,0000037;54,88;
Вологда;8;0,0000259;382,78;
Калининград;1;0,0000026;39,15;
Мурманск;1;0,0000042;63,39;
Великий Новгород;3;0,0000143;211,26;
Юг;50;0,0000054;80,72;
Краснодар;9;0,0000063;93,73;
Ставрополь;1;0,0000019;29,35;
Астрахань;1;0,0000030;45,13;
Волгоград;12;0,0000149;220,36;
Ростов-на-Дону;11;0,0000089;131,50;
Поволжье;110;0,0000059;87,61;
Казань;27;0,0000244;360,84;
Чебоксары;1;0,0000022;33,27;
Киров;1;0,0000020;30,37;
Нижний Новгород;5;0,0000031;45,96;
Оренбург;2;0,0000039;57,63;
Пенза;7;0,0000149;219,90;
Пермь;13;0,0000151;224,23;
Самара;11;0,0000110;162,81;
Урал;44;0,0000051;75,79;
Курган;1;0,0000045;66,72;
Екатеринбург;21;0,0000115;169,91;
Тюмень;5;0,0000063;93,12;
Челябинск;4;0,0000039;57,92;
Ханты-Мансийск;2;0,0000153;226,21;
Сибирь;77;0,0000073;108,25;
Красноярск;2;0,0000020;29,83;
Иркутск;8;0,0000133;196,44;
Новосибирск;27;0,0000171;252,44;
Омск;3;0,0000035;52,71;
Томск;2;0,0000053;79,18;
Дальний Восток;24;0,0000063;93,12;
Якутск;1;0,0000055;81,69;
Владивосток;7;0,0000167;247,54;
Хабаровск;1;0,0000024;36,76;
Благовещенск;3;0,0000208;308,17;
Петропавловск-Камчатский;1;0,0000099;146,45;
Южно-Сахалинск;2;0,0000152;225,23;
Европа;10;0,0000140;207,79;
Нидерланды;1;0,0000094;138,74;
Польша;1;0,0000293;433,38;
Финляндия;2;0,0000739;1 090,90;
Франция;3;0,0000935;1 381,05;
Швейцария;2;0,0002315;3 416,83;
Тель-Авив;2;0,0004287;6 326,27;
Китай;4;0,0000463;683,28;
Беларусь;16;0,0000064;101,48;
Витебск;1;0,0000071;104,87;
Гомель;1;0,0000053;79,29;
Минск;15;0,0000188;277,58;
Казахстан;13;0,0000076;139,33;
Алматы;3;0,0000087;129,58;
Астана;4;0,0000170;250,85;
Караганда;2;0,0000246;364,01;
СНГ (исключая Россию);32;0,0000065;109,55;
Грузия;1;0,0000168;248,50;
Уфа;10;0,0000102;151,53;
Сербия;1;0,0000540;797,49;
Израиль;2;0,0000854;1 260,14;
Азия;9;0,0000236;348,85;
Павлодар;1;0,0000160;236,52;
Воронеж;3;0,0000031;45,97;
Саратов;10;0,0000127;187,69;
Барнаул;4;0,0000071;106,16;
Улан-Удэ;1;0,0000034;50,27;
Молдова;2;0,0000284;420,49;
Москва;142;0,0000119;175,73;
Зеленоград;1;0,0000091;134,64;
Россия;670;0,0000068;98,83;
Новокузнецк;4;0,0000130;192,08;
Сочи;1;0,0000021;31,61;
Тольятти;4;0,0000096;142,73;
Севастополь;2;0,0000055;81,19;
Обнинск;1;0,0000094;139,53;
Новороссийск;1;0,0000052;77,23;
Республика Крым;11;0,0000067;100,05;
Таиланд;2;0,0000609;899,53;
Туапсе;1;0,0000279;412,38;
Майкоп;4;0,0000438;646,96;
Абакан;2;0,0000124;183,70;
Черкесск;1;0,0000142;210,14;
Анапа;4;0,0000344;508,62;
Санкт-Петербург и Ленинградская область;53;0,0000075;111,27;
Республика Алтай;1;0,0000080;118,28;
Тбилиси;1;0,0000303;448,49;
Усть-Каменогорск;1;0,0000173;255,68;
Хельсинки;2;0,0000864;1 276,26;
Воронежская область;3;0,0000017;26,35;
Ивановская область;1;0,0000015;23,00;
Калужская область;5;0,0000060;89,28;
Курская область;4;0,0000050;74,20;
Липецкая область;3;0,0000039;57,74;
Балашиха;2;0,0000042;62,60;
Бронницы;1;0,0000560;826,48;
Дмитров;3;0,0000447;661,01;
Клин;1;0,0000161;238,80;
Коломна;1;0,0000090;133,39;
Красногорск;2;0,0000129;191,23;
Луховицы;3;0,0001297;1 914,86;
Люберцы;1;0,0000039;58,91;
Мытищи;3;0,0000109;161,40;
Наро-Фоминск;1;0,0000224;330,83;
Ногинск;2;0,0000224;331,36;
Одинцово;1;0,0000055;81,79;
Подольск;5;0,0000188;278,41;
Пушкино;1;0,0000085;126,22;
Раменское;2;0,0000175;258,71;
Химки;5;0,0000100;148,65;
Щёлково;1;0,0000077;114,11;
Орловская область;4;0,0000078;116,18;
Рязанская область;6;0,0000071;105,22;
Смоленская область;5;0,0000084;125,18;
Тамбовская область;2;0,0000033;49,68;
Тверская область;2;0,0000023;34,16;
Новомосковск;1;0,0000114;169,10;
Тульская область;5;0,0000048;71,38;
Углич;1;0,0000708;1 045,62;
Ярославская область;6;0,0000063;93,93;
Архангельская область;7;0,0000109;161,27;
Северодвинск;1;0,0000083;122,85;
Вологодская область;8;0,0000099;147,19;
Калининградская область;1;0,0000016;24,81;
Пушкин;1;0,0000238;351,40;
Кандалакша;1;0,0000457;675,19;
Мурманская область;2;0,0000040;59,83;
Новгородская область;3;0,0000075;111,92;
Псковская область;3;0,0000076;112,36;
Республика Коми;3;0,0000063;94,22;
Астраханская область;1;0,0000020;30,85;
Волгоградская область;12;0,0000081;119,58;
Краснодарский край;18;0,0000044;66,33;
Республика Адыгея;4;0,0000163;241,56;
Карачаево-Черкесская Республика;2;0,0000134;198,38;
Ростовская область;15;0,0000053;78,50;
Гуково;2;0,0000851;1 256,52;
Кисловодск;1;0,0000171;252,85;
Ставропольский край;3;0,0000020;30,04;
Кировская область;2;0,0000025;38,19;
Нижегородская область;9;0,0000032;47,57;
Саров;1;0,0000169;250,16;
Оренбургская область;3;0,0000026;39,50;
Пензенская область;7;0,0000087;129,62;
Пермский край;19;0,0000121;179,98;
Республика Башкортостан;13;0,0000057;84,34;
Нефтекамск;1;0,0000129;190,59;
Республика Татарстан;28;0,0000115;169,99;
Самарская область;17;0,0000080;118,26;
Саратовская область;10;0,0000067;100,21;
Удмуртская Республика;1;0,0000010;15,56;
Чувашская Республика;1;0,0000013;20,06;
Курганская область;1;0,0000024;36,08;
Асбест;1;0,0000275;406,60;
Свердловская область;25;0,0000074;109,26;
Новоуральск;2;0,0000430;635,59;
Тюменская область;5;0,0000042;63,01;
Нефтеюганск;3;0,0000402;593,55;
Ханты-Мансийский автономный округ - Югра;5;0,0000046;68,50;
Верхний Уфалей;2;0,0001416;2 090,65;
Снежинск;1;0,0000338;499,07;
Челябинская область;8;0,0000036;54,41;
Алтайский край;8;0,0000064;95,48;
Рубцовск;4;0,0000572;844,40;
Ангарск;3;0,0000236;349,33;
Иркутская область;13;0,0000087;129,76;
Кемеровская область (Кузбасс);14;0,0000098;144,86;
Ленинск-Кузнецкий;4;0,0000876;1 293,78;
Ачинск;3;0,0000477;705,10;
Красноярский край;6;0,0000032;47,39;
Норильск;1;0,0000107;158,67;
Бердск;1;0,0000138;204,05;
Новосибирская область;28;0,0000126;186,46;
Омская область;3;0,0000027;40,09;
Горно-Алтайск;1;0,0000193;285,60;
Республика Бурятия;2;0,0000042;63,21;
Республика Хакасия;2;0,0000064;94,50;
Томская область;2;0,0000033;49,96;
Амурская область;3;0,0000089;131,70;
Камчатский край;1;0,0000062;92,38;
Приморский край;7;0,0000079;117,12;
Республика Саха (Якутия);1;0,0000026;39,46;
Сахалинская область;8;0,0000327;483,59;
Хабаровский край;2;0,0000030;44,30;
Березники;1;0,0000135;200,63;
Колпинский район;1;0,0000159;235,97;
Пушкинский район;4;0,0000347;513,44;
Электросталь;1;0,0000101;150,22;
Сибай;2;0,0000612;904,49;
Реутов;1;0,0000102;150,58;
Дедовск;1;0,0000459;677,76;
Лобня;2;0,0000247;365,53;
Бахчисарайский район;2;0,0000408;602,32;
Колпино;1;0,0000208;307,68;
Бахчисарай;2;0,0001117;1 649,52;
Абхазия;1;0,0000244;360,79;
Акмолинская область;4;0,0000132;195,08;
Алматы и область;4;0,0000097;143,31;
Восточно-Казахстанская область;1;0,0000107;159,18;
Караганда и область;2;0,0000144;213,82;
Павлодар и область;1;0,0000113;167,70;
Туркестан и область;1;0,0000088;129,86;
Минск и область;15;0,0000137;203,05;
Гомель и область;1;0,0000029;42,96;
Витебск и область;1;0,0000033;49,64;
Воскресенский район;1;0,0000091;135,57;
Дмитровский городской округ;9;0,0000493;728,88;
Истра (городской округ);2;0,0000099;147,47;
Кашира (городской округ);2;0,0000497;734,63;
Клин (городской округ);1;0,0000095;141,31;
Красногорск (городской округ);2;0,0000062;92,04;
Ленинский район;10;0,0000326;482,06;
Луховицы (городской округ);3;0,0000757;1 117,01;
Люберцы (городской округ);1;0,0000022;33,71;
Мытищи (городской округ);5;0,0000137;202,28;
Наро-Фоминский городской округ;1;0,0000061;91,39;
Богородский (городской округ);3;0,0000146;215,82;
Одинцовский район;3;0,0000066;98,59;
Пушкинский район;3;0,0000104;154,06;
Раменский район;5;0,0000171;253,77;
Рузский городской округ;3;0,0000492;727,16;
Сергиево-Посадский район;1;0,0000051;75,98;
Солнечногорский район;1;0,0000043;64,56;
Чехов (городской округ);2;0,0000146;215,81;
Щёлковский район;5;0,0000228;337,24;
Всеволожский район;1;0,0000017;25,16;
Конаковский район;1;0,0000161;238,27;
Угличский район;1;0,0000410;605,48;
Крымский район;1;0,0000172;253,88;
Туапсинский район;1;0,0000142;210,53;
Кандалакшский район;1;0,0000384;567,45;
Северный Кавказ;5;0,0000015;22,85;
Тель-Авивский АО;2;0,0004287;6 326,27;
Уусимаа;2;0,0000864;1 276,26;
Талгарский район;1;0,0000597;880,97;
Шардаринский район;1;0,0009647;14 235,53;
