Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «обучение в китае» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;2 999;0,0001497;137,89;
Санкт-Петербург;732;0,0001352;124,54;
Центр;3 939;0,0001179;108,58;
Белгород;38;0,0001007;92,75;
Иваново;37;0,0001049;96,63;
Калуга;22;0,0000565;52,05;
Кострома;45;0,0001839;169,37;
Курск;22;0,0000460;42,39;
Липецк;23;0,0000520;47,92;
Орёл;15;0,0000495;45,67;
Рязань;26;0,0000481;44,34;
Смоленск;5;0,0000221;20,40;
Тамбов;17;0,0000603;55,56;
Тверь;51;0,0001229;113,22;
Тула;52;0,0001016;93,63;
Ярославль;55;0,0001495;137,69;
Северо-Запад;1 175;0,0001047;96,44;
Петрозаводск;17;0,0000776;71,50;
Сыктывкар;18;0,0000901;82,99;
Архангельск;16;0,0000595;54,81;
Вологда;24;0,0000778;71,67;
Калининград;46;0,0001220;112,42;
Мурманск;18;0,0000773;71,21;
Великий Новгород;28;0,0001336;123,07;
Псков;5;0,0000275;25,41;
Юг;916;0,0001002;92,30;
Махачкала;20;0,0000686;63,25;
Нальчик;16;0,0001003;92,40;
Владикавказ;4;0,0000287;26,45;
Краснодар;220;0,0001552;143,00;
Ставрополь;86;0,0001710;157,54;
Астрахань;11;0,0000336;30,98;
Волгоград;66;0,0000821;75,64;
Ростов-на-Дону;133;0,0001077;99,24;
Поволжье;1 311;0,0000707;65,17;
Йошкар-Ола;12;0,0000580;53,50;
Саранск;5;0,0000205;18,94;
Казань;145;0,0001313;120,95;
Ижевск;34;0,0000630;58,05;
Чебоксары;53;0,0001195;110,08;
Киров;33;0,0000679;62,57;
Нижний Новгород;121;0,0000753;69,42;
Оренбург;31;0,0000605;55,75;
Пенза;27;0,0000574;52,94;
Пермь;83;0,0000970;89,35;
Самара;75;0,0000752;69,28;
Урал;791;0,0000923;85,04;
Курган;10;0,0000452;41,64;
Екатеринбург;193;0,0001058;97,46;
Тюмень;97;0,0001224;112,75;
Челябинск;116;0,0001138;104,83;
Ханты-Мансийск;6;0,0000459;42,35;
Салехард;4;0,0000816;75,22;
Сибирь;1 392;0,0001326;122,14;
Красноярск;162;0,0001638;150,85;
Иркутск;189;0,0003145;289,66;
Кемерово;77;0,0001798;165,66;
Новосибирск;227;0,0001438;132,46;
Омск;77;0,0000916;84,44;
Томск;34;0,0000912;84,02;
Чита;44;0,0001579;145,43;
Дальний Восток;1 135;0,0002984;274,88;
Якутск;56;0,0003100;285,55;
Владивосток;210;0,0005033;463,52;
Хабаровск;168;0,0004186;385,52;
Благовещенск;56;0,0003898;359,04;
Петропавловск-Камчатский;48;0,0004764;438,76;
Магадан;8;0,0001553;143,10;
Южно-Сахалинск;37;0,0002823;260,07;
США;9;0,0000817;75,32;
Вашингтон;5;0,0001396;128,63;
Аргентина;1;0,0003030;279,09;
Канада;2;0,0002081;191,68;
Германия;18;0,0001309;120,57;
Великобритания;10;0,0001832;168,78;
Европа;70;0,0000985;107,64;
Австрия;2;0,0001640;151,09;
Болгария;1;0,0000929;85,55;
Венгрия;1;0,0002023;186,35;
Нидерланды;12;0,0001128;103,91;
Норвегия;1;0,0001887;173,83;
Финляндия;2;0,0000739;68,08;
Франция;2;0,0000623;57,46;
Чехия;2;0,0001717;158,18;
Швейцария;6;0,0006947;639,78;
Швеция;3;0,0002461;226,70;
Тель-Авив;2;0,0004287;394,85;
Китай;172;0,0019912;1 833,84;
Южная Корея;2;0,0000857;78,95;
Япония;2;0,0001101;101,41;
Симферополь;19;0,0000480;44,26;
Беларусь;120;0,0000485;49,92;
Брест;3;0,0000264;24,37;
Витебск;1;0,0000071;6,54;
Гомель;10;0,0000537;49,49;
Минск;68;0,0000852;78,54;
Могилёв;10;0,0000758;69,80;
Казахстан;120;0,0000708;73,37;
Алматы;56;0,0001639;150,97;
Астана;12;0,0000510;46,97;
Караганда;13;0,0001603;147,68;
СНГ (исключая Россию);309;0,0000637;64,77;
Азербайджан;2;0,0000349;32,20;
Грузия;1;0,0000168;15,51;
Туркменистан;3;0,0001353;124,61;
Уфа;97;0,0000996;91,74;
Берлин;2;0,0000724;66,74;
Сербия;2;0,0001080;99,55;
Израиль;4;0,0001708;157,30;
Азия;222;0,0005831;537,08;
Павлодар;1;0,0000160;14,76;
Брянск;21;0,0000487;44,85;
Владимир;46;0,0001201;110,63;
Воронеж;82;0,0000851;78,42;
Саратов;48;0,0000610;56,23;
Ульяновск;29;0,0000603;55,59;
Барнаул;91;0,0001636;150,75;
Улан-Удэ;116;0,0003952;364,01;
Италия;2;0,0001091;100,50;
Кыргызстан;30;0,0002102;193,62;
Молдова;7;0,0000997;91,85;
Таджикистан;17;0,0001011;93,18;
Объединённые Арабские Эмираты;11;0,0005793;533,51;
Москва;1 993;0,0001671;153,94;
Долгопрудный;15;0,0001199;110,48;
Дубна;3;0,0000530;48,82;
Зеленоград;10;0,0000912;84,04;
Черноголовка;1;0,0000667;61,48;
Шымкент;4;0,0000559;51,52;
Россия;11 039;0,0001122;102,28;
Магнитогорск;18;0,0000747;68,80;
Набережные Челны;20;0,0000610;56,21;
Новокузнецк;23;0,0000748;68,93;
Новочеркасск;3;0,0000268;24,72;
Сочи;93;0,0001992;183,51;
Тольятти;53;0,0001281;118,04;
Африка;3;0,0000528;48,65;
Севастополь;42;0,0001155;106,42;
Обнинск;14;0,0001323;121,92;
Череповец;23;0,0000966;89,01;
Выборг;4;0,0000713;65,68;
Новороссийск;33;0,0001727;159,08;
Таганрог;17;0,0000925;85,23;
Дзержинск (Нижегородская область);11;0,0000676;62,31;
Сургут;35;0,0001176;108,34;
Находка;21;0,0003408;313,92;
Бийск;3;0,0000250;23,05;
Братск;22;0,0001786;164,48;
Республика Крым;112;0,0000690;63,58;
Турция;3;0,0000301;27,74;
Индия;3;0,0002247;206,97;
Таиланд;3;0,0000914;84,21;
Египет;1;0,0000294;27,14;
Туапсе;3;0,0000838;77,21;
Нижневартовск;12;0,0000703;64,78;
Назрань;2;0,0000824;75,95;
Элиста;5;0,0000658;60,60;
Абакан;39;0,0002427;223,58;
Черкесск;3;0,0000427;39,34;
Грозный;3;0,0000259;23,87;
Анапа;16;0,0001378;126,98;
Северная Америка;11;0,0000868;80,00;
Южная Америка;1;0,0000501;46,22;
Румыния;1;0,0002278;209,81;
Вьетнам;12;0,0003873;356,75;
Индонезия;2;0,0000802;73,88;
Монголия;3;0,0011407;1 050,57;
Пакистан;1;0,0003538;325,87;
Сингапур;4;0,0006369;586,63;
Санкт-Петербург и Ленинградская область;878;0,0001249;115,05;
Республика Алтай;34;0,0002725;251,02;
Республика Тыва;43;0,0003080;283,65;
Еврейская автономная область;18;0,0002949;271,59;
Гродно;4;0,0000354;32,63;
Тбилиси;1;0,0000303;27,99;
Атырау;3;0,0000851;78,42;
Костанай;7;0,0001185;109,16;
Рудный;1;0,0000557;51,35;
Талдыкорган;1;0,0000586;53,99;
Усть-Каменогорск;3;0,0000519;47,87;
Бишкек;24;0,0003019;278,06;
Ош;1;0,0000408;37,65;
Кишинев;7;0,0002738;252,19;
Вена;2;0,0002016;185,68;
Хельсинки;2;0,0000864;79,65;
Белград;2;0,0001617;148,93;
Белгородская область;96;0,0000876;80,72;
Губкин;5;0,0000897;82,63;
Старый Оскол;4;0,0000227;20,98;
Брянская область;31;0,0000401;36,98;
Клинцы;1;0,0000334;30,83;
Александров;1;0,0000206;18,99;
Владимирская область;72;0,0000704;64,85;
Гусь-Хрустальный;1;0,0000273;25,18;
Киржач;1;0,0000422;38,94;
Ковров;4;0,0000406;37,46;
Воронежская область;113;0,0000672;61,94;
Россошь;1;0,0000225;20,77;
Ивановская область;53;0,0000826;76,08;
Кинешма;4;0,0000894;82,41;
Калужская область;62;0,0000750;69,10;
Малоярославец;3;0,0001090;100,42;
Костромская область;50;0,0001224;112,80;
Курская область;48;0,0000603;55,57;
Железногорск;3;0,0000415;38,29;
Липецкая область;49;0,0000639;58,87;
Елец;9;0,0001342;123,62;
Балашиха;58;0,0001230;113,32;
Бронницы;4;0,0002240;206,33;
Видное;18;0,0001932;177,96;
Волоколамск;4;0,0002063;190,05;
Воскресенск;12;0,0002099;193,36;
Дмитров;12;0,0001791;165,03;
Домодедово;20;0,0001385;127,57;
Звенигород;5;0,0001324;122,00;
Истра;2;0,0000533;49,14;
Кашира;1;0,0000356;32,82;
Клин;7;0,0001132;104,33;
Коломна;13;0,0001175;108,23;
Красногорск;38;0,0002462;226,78;
Луховицы;2;0,0000865;79,67;
Люберцы;29;0,0001157;106,63;
Можайск;1;0,0000471;43,44;
Мытищи;48;0,0001750;161,18;
Наро-Фоминск;9;0,0002017;185,84;
Ногинск;6;0,0000673;62,04;
Одинцово;31;0,0001718;158,26;
Орехово-Зуево;7;0,0000918;84,56;
Павловский Посад;1;0,0000224;20,71;
Подольск;28;0,0001056;97,31;
Пушкино;20;0,0001710;157,56;
Раменское;15;0,0001315;121,10;
Сергиев Посад;3;0,0000286;26,38;
Серпухов;23;0,0002357;217,16;
Солнечногорск;4;0,0000882;81,24;
Ступино;3;0,0000241;22,21;
Химки;91;0,0001833;168,86;
Чехов;9;0,0001439;132,57;
Шатура;2;0,0001715;157,98;
Щёлково;5;0,0000386;35,61;
Орловская область;22;0,0000433;39,88;
Касимов;2;0,0001048;96,60;
Рязанская область;45;0,0000534;49,25;
Вязьма;3;0,0000984;90,65;
Смоленская область;33;0,0000559;51,57;
Тамбовская область;28;0,0000471;43,41;
Мичуринск;1;0,0000228;21,08;
Бологое;1;0,0000839;77,27;
Вышний Волочёк;1;0,0000368;33,91;
Тверская область;73;0,0000845;77,82;
Ржев;2;0,0000604;55,66;
Ефремов;1;0,0000372;34,34;
Новомосковск;4;0,0000458;42,21;
Тульская область;78;0,0000754;69,50;
Углич;1;0,0000708;65,26;
Ярославская область;87;0,0000923;85,01;
Архангельская область;22;0,0000343;31,63;
Северодвинск;4;0,0000333;30,67;
Вологодская область;68;0,0000847;78,09;
Великий Устюг;14;0,0006926;637,94;
Калининградская область;61;0,0001025;94,47;
Всеволожск;12;0,0001662;153,12;
Гатчина;7;0,0001000;92,15;
Кингисепп;3;0,0000888;81,80;
Кириши;1;0,0000293;26,99;
Кировск;2;0,0000368;33,95;
Пушкин;8;0,0001905;175,46;
Сосновый Бор;5;0,0001046;96,35;
Тосно;1;0,0000380;35,02;
Мончегорск;3;0,0000998;91,96;
Мурманская область;22;0,0000446;41,08;
Новгородская область;52;0,0001314;121,09;
Валдай;11;0,0011422;1 051,93;
Псковская область;15;0,0000380;35,06;
Великие Луки;9;0,0001340;123,45;
Республика Карелия;21;0,0000565;52,03;
Сегежа;4;0,0003229;297,37;
Республика Коми;36;0,0000766;70,57;
Ухта;4;0,0000626;57,66;
Астраханская область;20;0,0000418;38,51;
Волгоградская область;113;0,0000763;70,28;
Волжский;12;0,0000635;58,52;
Камышин;2;0,0000352;32,47;
Михайловка;1;0,0000288;26,60;
Урюпинск;4;0,0001834;168,99;
Армавир;3;0,0000323;29,81;
Белореченск;2;0,0000611;56,29;
Геленджик;12;0,0001688;155,46;
Ейск;1;0,0000195;18,02;
Краснодарский край;517;0,0001291;118,91;
Кропоткин;6;0,0001520;140,01;
Крымск;7;0,0002159;198,90;
Тихорецк;1;0,0000314;28,95;
Республика Адыгея;11;0,0000450;41,46;
Буйнакск;2;0,0001213;111,78;
Дербент;1;0,0000240;22,18;
Каспийск;3;0,0000542;49,98;
Республика Дагестан;47;0,0000646;59,57;
Хасавюрт;3;0,0001105;101,83;
Республика Ингушетия;4;0,0000447;41,20;
Кабардино-Балкарская Республика;18;0,0000572;52,72;
Республика Калмыкия;11;0,0000971;89,48;
Карачаево-Черкесская Республика;4;0,0000268;24,76;
Республика Северная Осетия — Алания;19;0,0000734;67,68;
Чеченская Республика;6;0,0000276;25,47;
Ростовская область;244;0,0000865;79,70;
Азов;4;0,0000767;70,72;
Батайск;19;0,0002018;185,91;
Белая Калитва;5;0,0002199;202,55;
Волгодонск;8;0,0000751;69,22;
Каменск-Шахтинский;6;0,0001224;112,77;
Новошахтинск;2;0,0000539;49,64;
Шахты;6;0,0000558;51,44;
Будённовск;6;0,0002067;190,37;
Ессентуки;5;0,0000756;69,70;
Кисловодск;7;0,0001199;110,47;
Минеральные Воды;3;0,0000741;68,30;
Невинномысск;11;0,0001691;155,73;
Пятигорск;16;0,0001668;153,68;
Ставропольский край;170;0,0001153;106,26;
Кировская область;50;0,0000647;59,60;
Республика Марий Эл;16;0,0000439;40,52;
Нижегородская область;174;0,0000623;57,40;
Арзамас;1;0,0000144;13,31;
Павлово;1;0,0000258;23,79;
Саров;1;0,0000169;15,61;
Оренбургская область;51;0,0000455;41,91;
Гай;1;0,0000548;50,49;
Новотроицк;1;0,0000235;21,70;
Орск;5;0,0000460;42,38;
Пензенская область;48;0,0000602;55,47;
Кузнецк;5;0,0001080;99,49;
Пермский край;105;0,0000674;62,08;
Соликамск;1;0,0000214;19,76;
Республика Башкортостан;215;0,0000945;87,06;
Кумертау;12;0,0004013;369,64;
Нефтекамск;3;0,0000387;35,68;
Салават;2;0,0000309;28,49;
Стерлитамак;10;0,0000675;62,24;
Республика Мордовия;7;0,0000164;15,18;
Республика Татарстан;241;0,0000991;91,32;
Альметьевск;4;0,0000434;39,99;
Бугульма;4;0,0000901;83,01;
Нижнекамск;11;0,0000852;78,51;
