Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «обучение за рубежом» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;1 125;0,0000561;178,62;
Санкт-Петербург;226;0,0000417;132,77;
Центр;1 332;0,0000398;126,78;
Белгород;10;0,0000265;84,28;
Иваново;2;0,0000056;18,03;
Калуга;7;0,0000179;57,19;
Кострома;3;0,0000122;38,99;
Курск;7;0,0000146;46,57;
Липецк;3;0,0000067;21,58;
Орёл;1;0,0000033;10,51;
Рязань;38;0,0000703;223,79;
Смоленск;3;0,0000132;42,27;
Тамбов;11;0,0000390;124,15;
Тверь;12;0,0000289;91,98;
Тула;9;0,0000175;55,95;
Ярославль;5;0,0000135;43,22;
Северо-Запад;335;0,0000298;94,94;
Петрозаводск;4;0,0000182;58,09;
Сыктывкар;2;0,0000100;31,84;
Архангельск;3;0,0000111;35,48;
Вологда;8;0,0000259;82,49;
Калининград;16;0,0000424;135,03;
Мурманск;2;0,0000085;27,32;
Великий Новгород;1;0,0000047;15,17;
Псков;2;0,0000110;35,10;
Юг;265;0,0000289;92,20;
Махачкала;10;0,0000343;109,20;
Нальчик;8;0,0000501;159,54;
Владикавказ;2;0,0000143;45,66;
Краснодар;75;0,0000529;168,34;
Ставрополь;19;0,0000377;120,18;
Астрахань;3;0,0000091;29,17;
Волгоград;32;0,0000398;126,64;
Ростов-на-Дону;66;0,0000534;170,05;
Поволжье;433;0,0000233;74,33;
Йошкар-Ола;13;0,0000629;200,14;
Саранск;23;0,0000946;300,87;
Казань;44;0,0000398;126,73;
Ижевск;27;0,0000500;159,19;
Чебоксары;8;0,0000180;57,37;
Киров;12;0,0000247;78,56;
Нижний Новгород;30;0,0000186;59,43;
Оренбург;20;0,0000390;124,20;
Пенза;13;0,0000276;88,01;
Пермь;28;0,0000327;104,09;
Самара;46;0,0000461;146,73;
Урал;264;0,0000308;98,01;
Курган;5;0,0000226;71,90;
Екатеринбург;133;0,0000729;231,92;
Тюмень;20;0,0000252;80,27;
Челябинск;30;0,0000294;93,62;
Ханты-Мансийск;3;0,0000229;73,13;
Салехард;2;0,0000408;129,87;
Сибирь;285;0,0000271;86,35;
Красноярск;56;0,0000566;180,06;
Иркутск;15;0,0000249;79,38;
Кемерово;6;0,0000140;44,57;
Новосибирск;50;0,0000316;100,75;
Омск;31;0,0000369;117,39;
Томск;20;0,0000536;170,66;
Чита;5;0,0000179;57,06;
Дальний Восток;123;0,0000323;102,86;
Якутск;4;0,0000221;70,43;
Владивосток;30;0,0000719;228,64;
Хабаровск;20;0,0000498;158,47;
Благовещенск;19;0,0001322;420,64;
Петропавловск-Камчатский;2;0,0000198;63,12;
Магадан;1;0,0000194;61,76;
Южно-Сахалинск;6;0,0000457;145,62;
США;4;0,0000363;115,60;
Вашингтон;2;0,0000558;177,66;
Германия;5;0,0000363;115,64;
Великобритания;8;0,0001466;466,25;
Европа;35;0,0000492;156,74;
Австрия;3;0,0002460;782,58;
Венгрия;2;0,0004046;1 286,93;
Нидерланды;5;0,0000470;149,51;
Финляндия;6;0,0002217;705,33;
Китай;9;0,0001041;331,34;
Южная Корея;4;0,0001714;545,24;
Симферополь;8;0,0000202;64,35;
Беларусь;24;0,0000097;32,16;
Гомель;1;0,0000053;17,09;
Минск;17;0,0000213;67,80;
Казахстан;120;0,0000708;247,73;
Алматы;39;0,0001141;363,06;
Астана;28;0,0001190;378,44;
Караганда;8;0,0000986;313,81;
Семей;1;0,0000283;90,05;
СНГ (исключая Россию);156;0,0000321;110,84;
Азербайджан;2;0,0000349;111,20;
Армения;1;0,0000147;46,96;
Грузия;1;0,0000168;53,55;
Узбекистан;1;0,0000142;45,18;
Уфа;28;0,0000287;91,44;
Берлин;3;0,0001087;345,70;
Сербия;1;0,0000540;171,87;
Азия;34;0,0000893;284,03;
Павлодар;2;0,0000320;101,95;
Брянск;12;0,0000278;88,51;
Владимир;3;0,0000078;24,91;
Воронеж;22;0,0000228;72,65;
Саратов;16;0,0000203;64,72;
Ульяновск;10;0,0000208;66,19;
Барнаул;22;0,0000395;125,84;
Улан-Удэ;14;0,0000477;151,69;
Кыргызстан;2;0,0000140;44,57;
Таджикистан;6;0,0000357;113,56;
Москва;849;0,0000712;226,45;
Долгопрудный;5;0,0000399;127,17;
Зеленоград;3;0,0000273;87,05;
Черноголовка;1;0,0000667;212,29;
Шымкент;1;0,0000139;44,47;
Россия;3 143;0,0000319;100,61;
Магнитогорск;1;0,0000041;13,19;
Набережные Челны;17;0,0000518;164,98;
Новокузнецк;8;0,0000260;82,79;
Новочеркасск;3;0,0000268;85,37;
Сочи;10;0,0000214;68,13;
Тольятти;6;0,0000145;46,14;
Африка;2;0,0000352;111,99;
Греция;1;0,0001753;557,66;
Севастополь;9;0,0000247;78,74;
Обнинск;1;0,0000094;30,07;
Череповец;8;0,0000336;106,91;
Выборг;7;0,0001248;396,93;
Новороссийск;6;0,0000314;99,87;
Таганрог;4;0,0000217;69,24;
Дзержинск (Нижегородская область);7;0,0000430;136,93;
Сургут;4;0,0000134;42,75;
Находка;3;0,0000486;154,85;
Бийск;2;0,0000166;53,06;
Братск;4;0,0000324;103,26;
Республика Крым;30;0,0000184;58,80;
Турция;3;0,0000301;95,79;
Таиланд;13;0,0003962;1 260,13;
Египет;2;0,0000589;187,47;
Нижневартовск;2;0,0000117;37,28;
Майкоп;7;0,0000767;244,00;
Элиста;2;0,0000263;83,70;
