Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «подготовка к ielts» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;670;0,00003345;179,31;
Санкт-Петербург;204;0,00003768;202,01;
Центр;772;0,00002310;123,86;
Белгород;3;0,00000795;42,62;
Иваново;3;0,00000850;45,60;
Кострома;1;0,00000408;21,90;
Курск;2;0,00000418;22,43;
Липецк;13;0,00002941;157,66;
Рязань;9;0,00001666;89,34;
Смоленск;2;0,00000886;47,50;
Тамбов;4;0,00001419;76,10;
Тверь;6;0,00001446;77,52;
Ярославль;6;0,00001631;87,42;
Северо-Запад;260;0,00002317;124,20;
Петрозаводск;1;0,00000456;24,48;
Сыктывкар;2;0,00001001;53,67;
Архангельск;1;0,00000371;19,93;
Вологда;6;0,00001945;104,29;
Калининград;12;0,00003184;170,70;
Великий Новгород;3;0,00001431;76,74;
Юг;108;0,00001181;63,34;
Махачкала;1;0,00000343;18,40;
Нальчик;3;0,00001881;100,84;
Владикавказ;2;0,00001436;76,97;
Краснодар;30;0,00002117;113,50;
Ставрополь;10;0,00001989;106,62;
Астрахань;2;0,00000611;32,79;
Волгоград;9;0,00001120;60,04;
Ростов-на-Дону;22;0,00001782;95,54;
Поволжье;260;0,00001403;75,23;
Йошкар-Ола;2;0,00000968;51,90;
Саранск;11;0,00004524;242,54;
Казань;53;0,00004800;257,32;
Ижевск;8;0,00001483;79,50;
Чебоксары;2;0,00000451;24,17;
Киров;5;0,00001029;55,17;
Нижний Новгород;33;0,00002055;110,19;
Оренбург;2;0,00000390;20,93;
Пермь;17;0,00001987;106,52;
Самара;22;0,00002206;118,29;
Урал;99;0,00001155;61,95;
Курган;3;0,00001356;72,72;
Екатеринбург;30;0,00001645;88,17;
Тюмень;17;0,00002145;115,02;
Челябинск;15;0,00001472;78,90;
Ханты-Мансийск;3;0,00002299;123,26;
Сибирь;97;0,00000924;49,54;
Красноярск;13;0,00001314;70,45;
Иркутск;11;0,00001830;98,12;
Кемерово;9;0,00002102;112,70;
Новосибирск;32;0,00002027;108,68;
Омск;6;0,00000714;38,29;
Томск;2;0,00000536;28,76;
Чита;4;0,00001435;76,95;
Дальний Восток;44;0,00001157;62,02;
Якутск;1;0,00000553;29,67;
Владивосток;18;0,00004314;231,24;
Хабаровск;2;0,00000498;26,71;
Благовещенск;3;0,00002088;111,95;
Петропавловск-Камчатский;4;0,00003970;212,81;
Магадан;1;0,00001942;104,11;
США;2;0,00001817;97,43;
Канада;4;0,00041627;2 231,31;
Германия;4;0,00002909;155,94;
Европа;26;0,00003661;203,81;
Болгария;4;0,00037160;1 991,88;
Литва;2;0,00011544;618,82;
Нидерланды;8;0,00007522;403,22;
Польша;1;0,00002937;157,43;
Финляндия;1;0,00003696;198,15;
Китай;37;0,00042835;2 296,06;
Южная Корея;1;0,00004286;229,76;
Симферополь;15;0,00003794;203,39;
Беларусь;38;0,00001537;84,57;
Минск;22;0,00002759;147,90;
Могилёв;1;0,00000758;40,63;
Казахстан;131;0,00007731;446,05;
Алматы;22;0,00006440;345,21;
Астана;39;0,00016575;888,50;
Караганда;8;0,00009868;528,96;
Семей;1;0,00002831;151,78;
СНГ (исключая Россию);201;0,00004145;235,47;
Азербайджан;1;0,00001748;93,72;
Армения;8;0,00011815;633,34;
Грузия;2;0,00003368;180,55;
Узбекистан;4;0,00005683;380,83;
Уфа;33;0,00003389;181,66;
Берлин;1;0,00003623;194,24;
Азия;51;0,00013397;718,13;
Павлодар;1;0,00001603;85,92;
Брянск;9;0,00002087;111,89;
Владимир;5;0,00001305;69,99;
Воронеж;8;0,00000830;44,53;
Саратов;8;0,00001017;54,54;
Барнаул;3;0,00000539;28,92;
Италия;1;0,00005456;292,47;
Кыргызстан;4;0,00002803;150,26;
Таджикистан;15;0,00008928;478,57;
Объединённые Арабские Эмираты;4;0,00021065;1 129,17;
Москва;527;0,00004420;236,93;
Долгопрудный;5;0,00003999;214,36;
Дубна;1;0,00001767;94,72;
Зеленоград;4;0,00003650;195,65;
Пущино;2;0,00016282;872,76;
Шымкент;17;0,00023777;1 274,50;
Россия;1 712;0,00001740;91,31;
Магнитогорск;2;0,00000830;44,49;
Набережные Челны;2;0,00000610;32,71;
Новокузнецк;2;0,00000650;34,88;
Новочеркасск;1;0,00000894;47,97;
Сочи;8;0,00001714;91,88;
Тольятти;9;0,00002176;116,66;
Африка;4;0,00007043;377,56;
Севастополь;14;0,00003851;206,47;
Череповец;2;0,00000840;45,05;
Новороссийск;1;0,00000523;28,05;
Таганрог;3;0,00001633;87,54;
Дзержинск (Нижегородская область);4;0,00002460;131,89;
Находка;1;0,00001623;87,00;
Республика Крым;36;0,00002219;118,95;
Турция;3;0,00003012;161,46;
Таиланд;4;0,00012192;653,55;
Египет;3;0,00008843;474,01;
Туапсе;2;0,00005589;299,62;
Нижневартовск;8;0,00004689;251,39;
Грозный;1;0,00000864;46,32;
Анапа;3;0,00002585;138,57;
Северная Америка;9;0,00007107;380,99;
