Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «поступление в зарубежный вуз» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;91;0,00000454;154,67;
Санкт-Петербург;23;0,00000424;144,65;
Центр;115;0,00000344;117,18;
Калуга;1;0,00000256;87,47;
Кострома;4;0,00001634;556,55;
Орёл;5;0,00001653;562,77;
Рязань;3;0,00000555;189,14;
Тамбов;3;0,00001064;362,48;
Тверь;2;0,00000482;164,12;
Тула;2;0,00000391;133,12;
Северо-Запад;35;0,00000311;106,19;
Петрозаводск;1;0,00000456;155,48;
Сыктывкар;4;0,00002002;681,78;
Юг;20;0,00000218;74,49;
Махачкала;1;0,00000343;116,90;
Краснодар;1;0,00000070;24,02;
Ставрополь;1;0,00000198;67,71;
Астрахань;1;0,00000305;104,12;
Волгоград;2;0,00000248;84,73;
Ростов-на-Дону;4;0,00000324;110,33;
Поволжье;52;0,00000280;95,56;
Саранск;1;0,00000411;140,04;
Казань;2;0,00000181;61,67;
Киров;4;0,00000823;280,35;
Нижний Новгород;7;0,00000436;148,45;
Оренбург;1;0,00000195;66,48;
Пенза;1;0,00000212;72,48;
Самара;3;0,00000300;102,44;
Урал;27;0,00000315;107,31;
Екатеринбург;1;0,00000054;18,66;
Тюмень;3;0,00000378;128,91;
Челябинск;3;0,00000294;100,22;
Сибирь;23;0,00000219;74,60;
Красноярск;2;0,00000202;68,84;
Иркутск;4;0,00000665;226,61;
Новосибирск;5;0,00000316;107,85;
Омск;3;0,00000357;121,61;
Дальний Восток;5;0,00000131;44,76;
Владивосток;1;0,00000239;81,59;
США;1;0,00000908;309,39;
Европа;2;0,00000281;191,77;
Швеция;2;0,00016411;5 586,92;
Китай;1;0,00001157;394,12;
Беларусь;1;0,00000040;13,77;
Минск;1;0,00000125;42,69;
Казахстан;20;0,00001180;421,92;
Алматы;8;0,00002341;797,27;
Астана;1;0,00000425;144,69;
Семей;2;0,00005663;1 928,03;
СНГ (исключая Россию);21;0,00000433;154,46;
Грузия;2;0,00003368;1 146,69;
Уфа;12;0,00001232;419,55;
Азия;3;0,00000788;268,29;
Саратов;3;0,00000381;129,91;
Ульяновск;1;0,00000208;70,86;
Барнаул;1;0,00000179;61,23;
Улан-Удэ;1;0,00000340;115,99;
Москва;70;0,00000587;199,87;
Долгопрудный;3;0,00002399;816,85;
Зеленоград;1;0,00000912;310,65;
Шымкент;5;0,00006993;2 380,74;
Россия;286;0,00000290;98,96;
Новочеркасск;2;0,00001789;609,32;
Череповец;5;0,00002101;715,33;
Новороссийск;1;0,00000523;178,20;
Братск;1;0,00000811;276,38;
Нижневартовск;3;0,00001758;598,73;
Назрань;5;0,00020619;7 019,59;
Майкоп;2;0,00002192;746,34;
Северная Америка;1;0,00000789;268,86;
Санкт-Петербург и Ленинградская область;24;0,00000341;116,25;
Тбилиси;2;0,00006079;2 069,52;
Костанай;3;0,00005079;1 729,36;
Усть-Каменогорск;1;0,00001732;589,91;
Владимирская область;1;0,00000097;33,29;
Калужская область;1;0,00000121;41,19;
Костромская область;4;0,00000979;333,57;
Липецкая область;2;0,00000260;88,82;
Балашиха;4;0,00000848;288,90;
Видное;1;0,00001073;365,47;
Мытищи;5;0,00001823;620,66;
Химки;1;0,00000201;68,59;
Орловская область;6;0,00001181;402,08;
Рязанская область;3;0,00000356;121,39;
Тамбовская область;3;0,00000505;171,95;
Тверская область;2;0,00000231;78,82;
Тульская область;2;0,00000193;65,87;
Вологодская область;5;0,00000623;212,25;
Кировск;1;0,00001843;627,58;
Республика Карелия;2;0,00000538;183,19;
Республика Коми;4;0,00000851;289,86;
Астраханская область;1;0,00000209;71,18;
Волгоградская область;3;0,00000202;68,97;
Волжский;1;0,00000529;180,28;
Ейск;1;0,00001957;666,29;
Краснодарский край;6;0,00000149;51,01;
Республика Адыгея;3;0,00001227;418,01;
Каспийск;1;0,00001809;615,86;
Республика Дагестан;2;0,00000275;93,71;
Республика Ингушетия;5;0,00005592;1 903,99;
Ростовская область;7;0,00000248;84,53;
Ессентуки;1;0,00001513;515,34;
Ставропольский край;2;0,00000135;46,21;
Кировская область;4;0,00000517;176,25;
Нижегородская область;16;0,00000573;195,14;
Оренбургская область;2;0,00000178;60,76;
Пензенская область;2;0,00000250;85,44;
Республика Башкортостан;13;0,00000571;194,59;
Республика Мордовия;1;0,00000235;80,16;
Республика Татарстан;5;0,00000205;70,03;
Самарская область;3;0,00000141;48,15;
Саратовская область;3;0,00000203;69,36;
Удмуртская Республика;1;0,00000105;35,92;
Сарапул;1;0,00002107;717,56;
Ульяновская область;1;0,00000139;47,57;
Чувашская Республика;1;0,00000136;46,30;
Свердловская область;3;0,00000088;30,25;
Тюменская область;4;0,00000341;116,31;
Радужный;2;0,00011981;4 079,04;
Ханты-Мансийский автономный округ - Югра;5;0,00000464;158,05;
Миасс;10;0,00010555;3 593,32;
Челябинская область;14;0,00000645;219,69;
Ямало-Ненецкий автономный округ;1;0,00000275;93,73;
Алтайский край;1;0,00000080;27,53;
Ангарск;1;0,00000789;268,66;
Иркутская область;7;0,00000473;161,21;
Кемеровская область (Кузбасс);1;0,00000070;23,87;
Ачинск;1;0,00001592;542,27;
Красноярский край;3;0,00000160;54,67;
Новосибирская область;6;0,00000270;92,19;
Омская область;3;0,00000271;92,51;
Республика Бурятия;1;0,00000214;72,92;
Томская область;2;0,00000338;115,28;
Приморский край;2;0,00000226;77,21;
Республика Саха (Якутия);1;0,00000267;91,06;
Хабаровский край;1;0,00000150;51,11;
Кстово;6;0,00010488;3 570,50;
Акмолинская область;1;0,00000330;112,52;
Алматы и область;8;0,00001942;661,29;
Восточно-Казахстанская область;1;0,00001078;367,26;
Костанай и область;3;0,00002765;941,51;
Туркестан и область;5;0,00004400;1 498,11;
Минск и область;1;0,00000091;31,23;
Новочебоксарск;1;0,00001308;445,47;
Ленинский район;2;0,00000653;222,44;
Мытищи (городской округ);5;0,00001370;466,70;
Кировский район;1;0,00000907;309,08;
Александровский район;1;0,00001254;427,10;
Ейский район;1;0,00001436;489,13;
Кстовский район;6;0,00004934;1 679,92;
Надымский район;1;0,00002352;800,78;
Северный Кавказ;9;0,00000278;94,92;
Область Абай;2;0,00005663;1 928,03;
