Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «психология за рубежом» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;60;0,00000299;84,28;
Санкт-Петербург;15;0,00000277;77,96;
Центр;104;0,00000311;87,58;
Белгород;2;0,00000530;149,13;
Калуга;1;0,00000256;72,28;
Курск;1;0,00000209;58,86;
Липецк;6;0,00001357;381,93;
Орёл;2;0,00000661;186,03;
Рязань;6;0,00001111;312,62;
Тамбов;1;0,00000354;99,85;
Северо-Запад;31;0,00000276;77,72;
Петрозаводск;2;0,00000913;256,98;
Архангельск;3;0,00001115;313,95;
Мурманск;4;0,00001718;483,48;
Юг;42;0,00000459;129,28;
Махачкала;1;0,00000343;96,61;
Нальчик;1;0,00000627;176,43;
Краснодар;6;0,00000423;119,14;
Ставрополь;6;0,00001193;335,77;
Астрахань;1;0,00000305;86,05;
Волгоград;9;0,00001120;315,13;
Поволжье;75;0,00000404;113,90;
Казань;30;0,00002717;764,49;
Ижевск;3;0,00000556;156,48;
Чебоксары;11;0,00002480;697,98;
Нижний Новгород;5;0,00000311;87,63;
Оренбург;1;0,00000195;54,94;
Пенза;2;0,00000425;119,79;
Пермь;2;0,00000233;65,77;
Самара;3;0,00000300;84,66;
Урал;44;0,00000513;144,52;
Екатеринбург;12;0,00000658;185,12;
Тюмень;6;0,00000757;213,07;
Челябинск;1;0,00000098;27,60;
Сибирь;34;0,00000323;91,14;
Красноярск;3;0,00000303;85,34;
Новосибирск;14;0,00000887;249,58;
Омск;3;0,00000357;100,50;
Томск;4;0,00001073;301,98;
Чита;2;0,00000717;201,95;
Дальний Восток;11;0,00000289;81,38;
Якутск;2;0,00001107;311,55;
Владивосток;2;0,00000479;134,85;
Благовещенск;5;0,00003480;979,33;
Бразилия;1;0,00011196;3 150,00;
Германия;1;0,00000727;204,63;
Европа;1;0,00000140;39,62;
Симферополь;1;0,00000252;71,17;
Беларусь;9;0,00000364;102,44;
Минск;9;0,00001128;317,57;
Казахстан;7;0,00000413;116,23;
Астана;1;0,00000425;119,57;
СНГ (исключая Россию);19;0,00000391;110,24;
Уфа;7;0,00000718;202,26;
Азия;1;0,00000262;73,90;
Павлодар;1;0,00001603;450,99;
Брянск;9;0,00002087;587,30;
Воронеж;3;0,00000311;87,65;
Саратов;4;0,00000508;143,15;
Кыргызстан;2;0,00001401;394,34;
Таджикистан;1;0,00000595;167,45;
Москва;33;0,00000276;77,87;
Россия;360;0,00000365;101,51;
Севастополь;1;0,00000275;77,40;
Сургут;3;0,00001008;283,70;
Республика Крым;5;0,00000308;86,71;
Майкоп;2;0,00002192;616,79;
Элиста;5;0,00006580;1 851,47;
Грозный;1;0,00000864;243,12;
Анапа;4;0,00003447;969,80;
Южная Америка;1;0,00005019;1 412,11;
Вьетнам;1;0,00003228;908,21;
Санкт-Петербург и Ленинградская область;20;0,00000284;80,06;
Бишкек;1;0,00001258;353,94;
Белгородская область;2;0,00000182;51,37;
Брянская область;9;0,00001165;328,01;
Владимирская область;1;0,00000097;27,51;
Воронежская область;5;0,00000297;83,73;
Калужская область;1;0,00000121;34,04;
Курская область;1;0,00000125;35,37;
Липецкая область;6;0,00000782;220,22;
Балашиха;1;0,00000212;59,68;
Видное;1;0,00001073;302,04;
Коломна;1;0,00000904;254,35;
Красногорск;5;0,00003240;911,60;
Наро-Фоминск;1;0,00002242;630,80;
Орехово-Зуево;1;0,00001311;369,03;
Раменское;1;0,00000876;246,65;
Химки;1;0,00000201;56,69;
Орловская область;2;0,00000393;110,76;
Рязанская область;8;0,00000950;267,52;
Тамбовская область;1;0,00000168;47,37;
Новомосковск;2;0,00002292;644,88;
Тульская область;6;0,00000580;163,32;
Ярославская область;2;0,00000212;59,70;
Архангельская область;3;0,00000468;131,79;
Подпорожье;1;0,00011090;3 120,17;
Тихвин;2;0,00005646;1 588,47;
Мурманская область;4;0,00000811;228,19;
Псковская область;2;0,00000507;142,83;
Республика Карелия;2;0,00000538;151,39;
Астраханская область;1;0,00000209;58,83;
Волгоградская область;9;0,00000607;171,01;
Белореченск;3;0,00009168;2 579,45;
Краснодарский край;23;0,00000574;161,61;
Республика Адыгея;3;0,00001227;345,45;
Республика Дагестан;1;0,00000137;38,72;
Республика Ингушетия;3;0,00003355;944,10;
Кабардино-Балкарская Республика;3;0,00000954;268,46;
Республика Калмыкия;5;0,00004416;1 242,62;
Чеченская Республика;1;0,00000461;129,72;
Ростовская область;1;0,00000035;9,97;
Волгодонск;1;0,00000939;264,33;
Ставропольский край;6;0,00000407;114,58;
Нижегородская область;5;0,00000179;50,39;
Оренбургская область;1;0,00000089;25,10;
Пензенская область;4;0,00000501;141,23;
Пермский край;2;0,00000128;36,12;
Республика Башкортостан;7;0,00000307;86,59;
Республика Татарстан;32;0,00001316;370,43;
Самарская область;3;0,00000141;39,79;
Саратовская область;4;0,00000271;76,43;
Удмуртская Республика;6;0,00000633;178,11;
Чувашская Республика;11;0,00001496;420,91;
Курганская область;21;0,00005136;1 444,99;
Свердловская область;13;0,00000385;108,33;
Нижний Тагил;1;0,00000483;136,04;
Тюменская область;6;0,00000512;144,18;
Ханты-Мансийский автономный округ - Югра;3;0,00000278;78,37;
Челябинская область;1;0,00000046;12,96;
Алтайский край;5;0,00000404;113,79;
Заринск;4;0,00020293;5 709,35;
Кемеровская область (Кузбасс);1;0,00000070;19,73;
Красноярский край;3;0,00000160;45,18;
Бердск;1;0,00001382;389,08;
Новосибирская область;18;0,00000812;228,56;
Омская область;3;0,00000271;76,45;
Томская область;4;0,00000677;190,55;
Амурская область;5;0,00001487;418,55;
Приморский край;2;0,00000226;63,80;
Республика Саха (Якутия);2;0,00000534;150,51;
Магас;1;0,00009191;2 585,84;
Электросталь;1;0,00001018;286,43;
Дедовск;1;0,00004593;1 292,30;
Забайкальский край;2;0,00000383;107,85;
Акмолинская область;1;0,00000330;92,99;
Алматы и область;5;0,00001214;341,56;
Павлодар и область;1;0,00001136;319,77;
Минск и область;9;0,00000825;232,30;
Истра (городской округ);1;0,00000499;140,59;
Красногорск (городской округ);5;0,00001559;438,75;
Ленинский район;3;0,00000980;275,75;
Наро-Фоминский городской округ;1;0,00000619;174,26;
Пушкинский район;1;0,00000348;97,91;
Раменский район;2;0,00000687;193,55;
Солнечногорский район;1;0,00000437;123,11;
Подпорожский район;1;0,00007785;2 190,50;
Тихвинский район;2;0,00004937;1 389,22;
Киржачский район;1;0,00002740;771,07;
Угличский район;1;0,00004103;1 154,49;
Белореченский район;3;0,00005799;1 631,72;
Крымский район;1;0,00001720;484,09;
Северный Кавказ;14;0,00000433;122,02;
