Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «студенческая виза» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;2 705;0,0001350;160,08;
Санкт-Петербург;819;0,0001513;179,34;
Центр;3 350;0,0001002;118,85;
Белгород;13;0,0000344;40,84;
Иваново;15;0,0000425;50,42;
Калуга;27;0,0000693;82,22;
Кострома;7;0,0000286;33,91;
Курск;21;0,0000439;52,08;
Липецк;15;0,0000339;40,22;
Орёл;22;0,0000727;86,21;
Рязань;30;0,0000555;65,85;
Смоленск;32;0,0001417;168,07;
Тамбов;18;0,0000638;75,72;
Тверь;22;0,0000530;62,86;
Тула;24;0,0000469;55,62;
Ярославль;17;0,0000462;54,77;
Северо-Запад;1 172;0,0001044;123,91;
Петрозаводск;17;0,0000776;92,03;
Сыктывкар;15;0,0000751;89,01;
Архангельск;19;0,0000706;83,77;
Вологда;22;0,0000713;84,56;
Калининград;34;0,0000902;106,95;
Мурманск;8;0,0000343;40,73;
Великий Новгород;10;0,0000477;56,57;
Псков;8;0,0000441;52,33;
Юг;718;0,0000785;93,11;
Махачкала;14;0,0000480;56,98;
Нальчик;13;0,0000815;96,63;
Владикавказ;5;0,0000359;42,55;
Краснодар;195;0,0001376;163,14;
Ставрополь;24;0,0000477;56,58;
Астрахань;15;0,0000458;54,38;
Волгоград;47;0,0000584;69,33;
Ростов-на-Дону;111;0,0000899;106,60;
Поволжье;1 160;0,0000626;74,22;
Йошкар-Ола;14;0,0000677;80,33;
Саранск;8;0,0000329;39,00;
Казань;123;0,0001114;132,05;
Ижевск;30;0,0000556;65,92;
Чебоксары;41;0,0000924;109,60;
Киров;22;0,0000452;53,68;
Нижний Новгород;106;0,0000660;78,27;
Оренбург;26;0,0000507;60,18;
Пенза;17;0,0000361;42,90;
Пермь;102;0,0001192;141,33;
Самара;72;0,0000722;85,60;
Урал;575;0,0000671;79,57;
Курган;12;0,0000542;64,32;
Екатеринбург;206;0,0001129;133,89;
Тюмень;61;0,0000769;91,26;
Челябинск;81;0,0000794;94,22;
Ханты-Мансийск;6;0,0000459;54,51;
Салехард;2;0,0000408;48,41;
Сибирь;553;0,0000526;62,45;
Красноярск;60;0,0000606;71,91;
Иркутск;72;0,0001198;142,02;
Кемерово;22;0,0000513;60,92;
Новосибирск;121;0,0000766;90,88;
Омск;34;0,0000404;47,99;
Томск;19;0,0000509;60,43;
Чита;18;0,0000646;76,57;
