Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «учеба it за границей» по регионам, 25.04.2026 — 25.05.2026, все устройства
Северо-Запад;1;0,000000089;161,30;
Поволжье;1;0,000000053;97,70;
Казань;1;0,000000905;1 639,41;
Дальний Восток;2;0,000000525;951,97;
СНГ (исключая Россию);2;0,000000412;746,59;
Узбекистан;2;0,000028419;51 438,72;
Россия;4;0,000000040;73,58;
Ташкент;2;0,000088131;159 516,90;
Вологодская область;1;0,000001246;2 256,97;
Республика Татарстан;1;0,000000411;744,72;
Республика Бурятия;2;0,000004284;7 753,99;
Усть-Баргузин;2;0,000989697;1 791 333,17;
Баргузинский район;2;0,000989697;1 791 333,17;
