Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «учеба в испании» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;200;0,00000998;163,565;
Санкт-Петербург;70;0,00001293;211,826;
Центр;244;0,00000730;119,631;
Белгород;5;0,00001325;217,073;
Кострома;1;0,00000408;66,945;
Рязань;6;0,00001111;182,012;
Смоленск;1;0,00000443;72,581;
Тамбов;2;0,00000709;116,273;
Тверь;2;0,00000482;78,969;
Ярославль;2;0,00000543;89,055;
Северо-Запад;94;0,00000837;137,222;
Петрозаводск;3;0,00001370;224,429;
Архангельск;2;0,00000743;121,856;
Вологда;1;0,00000324;53,116;
Калининград;4;0,00001061;173,879;
Мурманск;1;0,00000429;70,371;
Юг;55;0,00000601;98,570;
Махачкала;3;0,00001030;168,743;
Нальчик;6;0,00003762;616,328;
Краснодар;12;0,00000846;138,737;
Ставрополь;1;0,00000198;32,581;
Волгоград;5;0,00000622;101,928;
Ростов-на-Дону;3;0,00000243;39,815;
Поволжье;82;0,00000442;72,507;
Казань;10;0,00000905;148,363;
Ижевск;5;0,00000927;151,847;
Киров;2;0,00000411;67,446;
Нижний Новгород;2;0,00000124;20,408;
Оренбург;4;0,00000781;127,955;
Пенза;2;0,00000425;69,747;
Пермь;1;0,00000116;19,148;
Самара;14;0,00001404;230,031;
Урал;31;0,00000361;59,283;
Екатеринбург;9;0,00000493;80,836;
Тюмень;12;0,00001514;248,104;
Челябинск;4;0,00000392;64,298;
Сибирь;57;0,00000543;88,961;
Красноярск;11;0,00001112;182,184;
Иркутск;4;0,00000665;109,034;
Кемерово;10;0,00002336;382,662;
Новосибирск;11;0,00000697;114,171;
Омск;5;0,00000595;97,527;
Томск;2;0,00000536;87,907;
Дальний Восток;22;0,00000578;94,766;
Владивосток;3;0,00000719;117,772;
Хабаровск;2;0,00000498;81,628;
Благовещенск;2;0,00001392;228,069;
Южно-Сахалинск;8;0,00006105;1 000,144;
Германия;2;0,00001454;238,273;
Европа;8;0,00001126;184,540;
Нидерланды;2;0,00001880;308,040;
Финляндия;2;0,00007393;1 211,016;
Китай;5;0,00005788;948,154;
Беларусь;9;0,00000364;66,271;
Витебск;1;0,00000710;116,425;
Минск;2;0,00000250;41,086;
Могилёв;2;0,00001516;248,320;
Казахстан;14;0,00000826;135,339;
Алматы;3;0,00000878;143,852;
Астана;3;0,00001275;208,853;
СНГ (исключая Россию);25;0,00000515;87,834;
Грузия;2;0,00003368;551,730;
Уфа;9;0,00000924;151,402;
Израиль;5;0,00021350;3 497,240;
Азия;12;0,00003152;516,350;
Павлодар;6;0,00009618;1 575,434;
Брянск;4;0,00000927;151,969;
Владимир;1;0,00000261;42,778;
Воронеж;3;0,00000311;51,032;
Саратов;5;0,00000636;104,183;
Барнаул;2;0,00000359;58,928;
Испания;1;0,00004704;770,512;
Кыргызстан;2;0,00001401;229,590;
Москва;140;0,00001174;192,340;
Россия;605;0,00000614;100,558;
Набережные Челны;1;0,00000305;49,989;
Сочи;4;0,00000857;140,383;
Тольятти;2;0,00000483;79,225;
Севастополь;1;0,00000275;45,066;
Таганрог;1;0,00000544;89,172;
Бийск;2;0,00001668;273,350;
Республика Крым;1;0,00000061;10,097;
Майкоп;1;0,00001096;179,550;
Абакан;2;0,00001245;203,931;
Черкесск;1;0,00001424;233,288;
Португалия;1;0,00027977;4 582,718;
Санкт-Петербург и Ленинградская область;81;0,00001152;188,781;
Еврейская автономная область;2;0,00003276;536,724;
Бишкек;1;0,00001258;206,066;
Ош;1;0,00004088;669,718;
Хельсинки;2;0,00008649;1 416,787;
Белгородская область;8;0,00000730;119,641;
Брянская область;5;0,00000647;106,095;
Владимирская область;2;0,00000195;32,044;
Муром;1;0,00001292;211,667;
Воронежская область;7;0,00000416;68,253;
Костромская область;1;0,00000244;40,125;
Курская область;1;0,00000125;20,593;
Липецкая область;1;0,00000130;21,369;
Балашиха;3;0,00000636;104,253;
Домодедово;4;0,00002770;453,794;
Егорьевск;1;0,00002037;333,660;
Клин;1;0,00001618;265,098;
Люберцы;4;0,00001597;261,597;
Одинцово;3;0,00001663;272,411;
Подольск;1;0,00000377;61,813;
Пушкино;1;0,00000855;140,124;
Раменское;3;0,00002630;430,800;
Серпухов;1;0,00001025;167,929;
Солнечногорск;2;0,00004410;722,512;
Химки;3;0,00000604;99,015;
Щёлково;2;0,00001546;253,359;
Рязанская область;6;0,00000713;116,816;
Смоленская область;2;0,00000339;55,589;
Тамбовская область;2;0,00000336;55,158;
Тверская область;2;0,00000231;37,924;
Тульская область;2;0,00000193;31,696;
Ярославская область;5;0,00000530;86,897;
Архангельская область;2;0,00000312;51,153;
Вологодская область;1;0,00000124;20,425;
Калининградская область;5;0,00000840;137,736;
Мурманская область;2;0,00000405;66,428;
Республика Карелия;3;0,00000807;132,217;
Волгоградская область;15;0,00001013;165,941;
Волжский;2;0,00001059;173,484;
Камышин;7;0,00012343;2 021,870;
Михайловка;1;0,00002888;473,200;
Ейск;2;0,00003914;641,170;
Краснодарский край;30;0,00000749;122,728;
Республика Адыгея;1;0,00000409;67,041;
Республика Дагестан;3;0,00000412;67,635;
Кабардино-Балкарская Республика;6;0,00001908;312,596;
Карачаево-Черкесская Республика;1;0,00000672;110,111;
Республика Северная Осетия — Алания;1;0,00000386;63,359;
Ростовская область;9;0,00000319;52,291;
Азов;3;0,00005759;943,371;
Батайск;1;0,00001062;174,030;
Пятигорск;3;0,00003128;512,522;
Ставропольский край;8;0,00000543;88,945;
Кировская область;2;0,00000258;42,403;
Нижегородская область;6;0,00000214;35,209;
Оренбургская область;6;0,00000535;87,711;
Орск;2;0,00001841;301,563;
Пензенская область;4;0,00000501;82,226;
Пермский край;4;0,00000256;42,063;
Республика Башкортостан;15;0,00000659;108,033;
Стерлитамак;1;0,00000675;110,707;
Республика Татарстан;13;0,00000534;87,614;
Бугульма;1;0,00002253;369,141;
Самарская область;16;0,00000754;123,563;
Саратовская область;6;0,00000407;66,751;
Удмуртская Республика;8;0,00000844;138,265;
Глазов;1;0,00001738;284,784;
Чувашская Республика;2;0,00000272;44,555;
Курганская область;1;0,00000244;40,060;
Свердловская область;11;0,00000325;53,369;
Тюменская область;12;0,00001024;167,887;
Челябинская область;6;0,00000276;45,303;
Новый Уренгой;1;0,00001122;183,893;
Ямало-Ненецкий автономный округ;1;0,00000275;45,100;
Алтайский край;6;0,00000485;79,500;
Новоалтайск;1;0,00002290;375,254;
Рубцовск;1;0,00001430;234,345;
Иркутская область;6;0,00000405;66,485;
Кемеровская область (Кузбасс);14;0,00000981;160,818;
Полысаево;2;0,00016387;2 684,202;
Красноярский край;11;0,00000588;96,462;
Новосибирская область;11;0,00000496;81,321;
Омская область;5;0,00000452;74,189;
Республика Хакасия;2;0,00000640;104,913;
Томская область;2;0,00000338;55,471;
Амурская область;2;0,00000595;97,473;
Биробиджан;1;0,00002704;442,975;
Приморский край;3;0,00000340;55,724;
Республика Саха (Якутия);1;0,00000267;43,814;
Сахалинская область;8;0,00003277;536,842;
Хабаровский край;2;0,00000300;49,187;
Кстово;3;0,00005244;858,966;
Пушкинский район;2;0,00001739;284,990;
Электросталь;3;0,00003054;500,283;
Реутов;2;0,00002041;334,333;
Ивантеевка;2;0,00002882;472,224;
Щербинка;2;0,00005739;940,067;
Лыткарино;2;0,00004899;802,585;
Забайкальский край;4;0,00000766;125,592;
Акмолинская область;3;0,00000991;162,421;
Алматы и область;3;0,00000728;119,317;
Восточно-Казахстанская область;2;0,00002157;353,415;
Павлодар и область;6;0,00006819;1 117,043;
Могилёв и область;2;0,00000793;130,017;
Минск и область;2;0,00000183;30,055;
Витебск и область;1;0,00000336;55,109;
Гродно и область;5;0,00002438;399,405;
Егорьевск (городской округ);1;0,00001465;240,068;
Истра (городской округ);2;0,00000999;163,708;
Клин (городской округ);1;0,00000957;156,872;
Красногорск (городской округ);5;0,00001559;255,444;
Ленинский район;3;0,00000980;160,543;
Люберцы (городской округ);5;0,00001142;187,114;
Богородский (городской округ);3;0,00001462;239,589;
Одинцовский район;3;0,00000668;109,451;
Пушкинский район;3;0,00001044;171,026;
Раменский район;3;0,00001031;169,033;
Солнечногорский район;5;0,00002187;358,386;
Щёлковский район;4;0,00001828;299,500;
Волховский район;1;0,00002141;350,724;
Всеволожский район;6;0,00001023;167,638;
Кингисеппский район;4;0,00006076;995,290;
Богородицкий район;2;0,00009338;1 529,601;
Тутаевский район;1;0,00002657;435,258;
Белореченский район;2;0,00003866;633,328;
Ейский район;2;0,00002873;470,687;
Кстовский район;4;0,00003289;538,860;
Северный Кавказ;19;0,00000588;96,419;
Уусимаа;2;0,00008649;1 416,787;
Самцхе-Джавахети;2;0,00095399;15 626,337;
