Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «учеба в сша» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;343;0,0000171;136,34;
Санкт-Петербург;113;0,0000208;166,21;
Центр;488;0,0000146;116,29;
Белгород;1;0,0000026;21,10;
Иваново;2;0,0000056;45,15;
Калуга;3;0,0000077;61,37;
Кострома;3;0,0000122;97,62;
Курск;5;0,0000104;83,29;
Липецк;9;0,0000203;162,12;
Орёл;2;0,0000066;52,64;
Рязань;12;0,0000222;176,94;
Тамбов;7;0,0000248;197,80;
Тверь;1;0,0000024;19,19;
Тула;7;0,0000136;108,96;
Ярославль;5;0,0000135;108,21;
Северо-Запад;190;0,0000169;135,52;
Петрозаводск;3;0,0000137;109,08;
Сыктывкар;7;0,0000350;279,03;
Архангельск;7;0,0000260;207,30;
Вологда;4;0,0000129;103,27;
Калининград;8;0,0000212;169,03;
Мурманск;1;0,0000042;34,20;
Великий Новгород;2;0,0000095;75,99;
Псков;4;0,0000220;175,76;
Юг;115;0,0000125;100,18;
Махачкала;3;0,0000103;82,02;
Нальчик;4;0,0000250;199,71;
Краснодар;22;0,0000155;123,63;
Ставрополь;4;0,0000079;63,34;
Астрахань;1;0,0000030;24,35;
Волгоград;5;0,0000062;49,54;
Ростов-на-Дону;16;0,0000129;103,21;
Поволжье;207;0,0000111;88,96;
Йошкар-Ола;2;0,0000096;77,09;
Казань;15;0,0000135;108,17;
Ижевск;13;0,0000241;191,90;
Чебоксары;2;0,0000045;35,91;
Киров;5;0,0000102;81,95;
Нижний Новгород;26;0,0000161;128,95;
Оренбург;3;0,0000058;46,64;
Пенза;4;0,0000085;67,80;
Пермь;14;0,0000163;130,30;
Самара;9;0,0000090;71,87;
Урал;89;0,0000103;82,72;
Курган;2;0,0000090;72,01;
Екатеринбург;29;0,0000159;126,60;
Тюмень;4;0,0000050;40,19;
Челябинск;8;0,0000078;62,50;
Ханты-Мансийск;2;0,0000153;122,06;
Сибирь;108;0,0000102;81,93;
Красноярск;22;0,0000222;177,10;
Иркутск;9;0,0000149;119,24;
Кемерово;10;0,0000233;186,00;
Новосибирск;12;0,0000076;60,54;
Омск;11;0,0000130;104,29;
Томск;4;0,0000107;85,45;
Чита;1;0,0000035;28,57;
Дальний Восток;37;0,0000097;77,47;
Якутск;4;0,0000221;176,33;
Владивосток;3;0,0000071;57,24;
Хабаровск;7;0,0000174;138,87;
Благовещенск;1;0,0000069;55,42;
Южно-Сахалинск;5;0,0000381;303,83;
США;6;0,0000545;434,15;
Канада;1;0,0001040;828,56;
Германия;5;0,0000363;289,54;
Европа;15;0,0000211;168,18;
Литва;1;0,0000577;459,58;
Франция;3;0,0000935;745,20;
Китай;1;0,0000115;92,17;
Симферополь;2;0,0000050;40,28;
Беларусь;16;0,0000064;67,64;
Брест;2;0,0000176;140,46;
Витебск;1;0,0000071;56,59;
Минск;12;0,0000150;119,82;
Могилёв;1;0,0000075;60,35;
Казахстан;23;0,0000135;112,77;
Алматы;5;0,0000146;116,53;
Астана;3;0,0000127;101,51;
Караганда;1;0,0000123;98,21;
СНГ (исключая Россию);48;0,0000098;88,67;
Армения;2;0,0000295;235,18;
Уфа;21;0,0000215;171,71;
Берлин;1;0,0000362;288,51;
Азия;7;0,0000183;146,40;
Брянск;8;0,0000185;147,73;
Владимир;13;0,0000339;270,31;
Воронеж;25;0,0000259;206,71;
Саратов;8;0,0000101;81,02;
Ульяновск;5;0,0000104;82,86;
Барнаул;8;0,0000143;114,57;
Улан-Удэ;6;0,0000204;162,77;
Испания;2;0,0000940;749,04;
Кыргызстан;3;0,0000210;167,39;
Таджикистан;4;0,0000238;189,55;
Москва;201;0,0000168;134,22;
Долгопрудный;4;0,0000319;254,71;
Дубна;4;0,0000706;562,78;
Пущино;1;0,0000814;648,17;
Шымкент;1;0,0000139;111,35;
Россия;1 269;0,0000128;101,96;
Магнитогорск;3;0,0000124;99,14;
Набережные Челны;6;0,0000183;145,79;
Новокузнецк;6;0,0000195;155,46;
Сочи;15;0,0000321;255,88;
Тольятти;4;0,0000096;77,01;
Греция;1;0,0001753;1 396,21;
Севастополь;5;0,0000137;109,52;
Обнинск;1;0,0000094;75,28;
Череповец;5;0,0000210;167,29;
Таганрог;7;0,0000381;303,40;
Сургут;10;0,0000336;267,61;
Бийск;3;0,0000250;199,30;
Братск;4;0,0000324;258,54;
Республика Крым;10;0,0000061;49,07;
Турция;3;0,0000301;239,83;
Нижневартовск;2;0,0000117;93,35;
Черкесск;1;0,0000142;113,39;
Северная Америка;7;0,0000552;440,15;
Вьетнам;6;0,0001936;1 542,09;
Санкт-Петербург и Ленинградская область;132;0,0000187;149,53;
Республика Тыва;1;0,0000071;57,02;
Ереван;2;0,0000474;377,67;
Атырау;1;0,0000283;225,99;
Рудный;2;0,0001115;887,98;
Усть-Каменогорск;2;0,0000346;275,92;
Белгородская область;9;0,0000082;65,42;
Губкин;2;0,0000358;285,76;
Старый Оскол;1;0,0000056;45,35;
Брянская область;10;0,0000129;103,13;
Владимирская область;17;0,0000166;132,39;
Ковров;1;0,0000101;80,97;
Воронежская область;29;0,0000172;137,44;
Ивановская область;5;0,0000077;62,05;
Шуя;1;0,0000296;236,24;
Калужская область;5;0,0000060;48,17;
Костромская область;3;0,0000073;58,51;
Курская область;6;0,0000075;60,05;
Липецкая область;11;0,0000143;114,25;
Балашиха;12;0,0000254;202,69;
Видное;3;0,0000322;256,42;
Волоколамск;4;0,0002063;1 643,08;
Воскресенск;1;0,0000174;139,30;
Дмитров;3;0,0000447;356,67;
Домодедово;3;0,0000207;165,43;
Коломна;1;0,0000090;71,97;
Красногорск;1;0,0000064;51,59;
Люберцы;13;0,0000519;413,25;
Мытищи;8;0,0000291;232,24;
Одинцово;6;0,0000332;264,82;
Орехово-Зуево;3;0,0000393;313,30;
Павловский Посад;1;0,0000224;179,04;
Подольск;4;0,0000150;120,18;
Ступино;1;0,0000080;64,00;
Химки;12;0,0000241;192,51;
Щёлково;1;0,0000077;61,57;
Орловская область;3;0,0000059;47,01;
Рязанская область;15;0,0000178;141,95;
Смоленская область;2;0,0000033;27,02;
Тамбовская область;10;0,0000168;134,05;
Мичуринск;1;0,0000228;182,30;
Вышний Волочёк;1;0,0000368;293,23;
Тверская область;5;0,0000057;46,08;
Удомля;1;0,0000527;419,61;
Тульская область;7;0,0000067;53,92;
Ярославская область;8;0,0000084;67,58;
Архангельская область;8;0,0000124;99,45;
Северодвинск;1;0,0000083;66,29;
Вологодская область;15;0,0000187;148,92;
Калининградская область;11;0,0000184;147,28;
Волхов;4;0,0001563;1 245,15;
Кировск;2;0,0000368;293,54;
Пушкин;3;0,0000714;568,84;
Мурманская область;1;0,0000020;16,14;
Новгородская область;2;0,0000050;40,26;
Псковская область;5;0,0000126;101,04;
Республика Карелия;8;0,0000215;171,37;
Костомукша;2;0,0001251;996,33;
Республика Коми;8;0,0000170;135,58;
Инта;1;0,0000966;769,73;
Астраханская область;4;0,0000083;66,59;
Волгоградская область;7;0,0000047;37,64;
Армавир;2;0,0000215;171,85;
Геленджик;2;0,0000281;223,99;
Краснодарский край;67;0,0000167;133,22;
Кропоткин;1;0,0000253;201,73;
Республика Дагестан;4;0,0000055;43,83;
Кабардино-Балкарская Республика;4;0,0000127;101,29;
Республика Калмыкия;2;0,0000176;140,66;
Карачаево-Черкесская Республика;2;0,0000134;107,04;
Республика Северная Осетия — Алания;3;0,0000116;92,39;
Ростовская область;35;0,0000124;98,84;
Батайск;1;0,0000106;84,59;
Белая Калитва;1;0,0000439;350,22;
Каменск-Шахтинский;1;0,0000204;162,49;
Новошахтинск;1;0,0000269;214,59;
Шахты;1;0,0000093;74,11;
Кисловодск;1;0,0000171;136,43;
Невинномысск;2;0,0000307;244,79;
Пятигорск;1;0,0000104;83,04;
Ставропольский край;12;0,0000081;64,85;
Кировская область;10;0,0000129;103,05;
Республика Марий Эл;7;0,0000192;153,26;
Нижегородская область;38;0,0000136;108,39;
Саров;2;0,0000339;269,97;
Оренбургская область;4;0,0000035;28,42;
Орск;1;0,0000092;73,29;
Пензенская область;5;0,0000062;49,95;
Пермский край;22;0,0000141;112,45;
Республика Башкортостан;35;0,0000153;122,52;
Республика Мордовия;1;0,0000023;18,74;
Республика Татарстан;32;0,0000131;104,82;
Самарская область;16;0,0000075;60,06;
Сызрань;1;0,0000119;94,77;
Балаково;1;0,0000093;74,32;
Саратовская область;13;0,0000088;70,29;
Энгельс;2;0,0000145;115,94;
Удмуртская Республика;14;0,0000147;117,61;
Ульяновская область;8;0,0000111;89,01;
Димитровград;2;0,0000266;212,51;
Чувашская Республика;2;0,0000027;21,65;
Курганская область;3;0,0000073;58,41;
Свердловская область;43;0,0000127;101,40;
Каменск-Уральский;1;0,0000096;76,97;
Нижний Тагил;1;0,0000048;38,49;
Тобольск;1;0,0000137;109,61;
Тюменская область;6;0,0000051;40,80;
Югорск;1;0,0000378;301,57;
Мегион;2;0,0000793;632,06;
Нягань;1;0,0000270;215,19;
Ханты-Мансийский автономный округ - Югра;18;0,0000167;133,07;
Копейск;3;0,0000383;305,53;
Озёрск;2;0,0000457;364,37;
Челябинская область;19;0,0000087;69,73;
Алтайский край;14;0,0000113;90,16;
Иркутская область;19;0,0000128;102,33;
Нижнеудинск;1;0,0000545;434,12;
Тулун;1;0,0000459;365,46;
Кемеровская область (Кузбасс);19;0,0000133;106,08;
Прокопьевск;1;0,0000119;95,33;
Красноярский край;27;0,0000144;115,08;
Норильск;1;0,0000107;85,62;
Новосибирская область;13;0,0000058;46,71;
Омская область;11;0,0000099;79,33;
Республика Бурятия;7;0,0000149;119,37;
