Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «учеба во франции» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;135;0,00000674;152,49;
Санкт-Петербург;46;0,00000849;192,27;
Центр;176;0,00000526;119,18;
Белгород;3;0,00000795;179,89;
Иваново;1;0,00000283;64,15;
Калуга;2;0,00000513;116,26;
Курск;1;0,00000209;47,34;
Липецк;4;0,00000905;204,76;
Орёл;1;0,00000330;74,80;
Рязань;3;0,00000555;125,70;
Смоленск;1;0,00000443;100,25;
Тверь;5;0,00001205;272,69;
Тула;5;0,00000977;221,17;
Ярославль;1;0,00000271;61,50;
Северо-Запад;74;0,00000659;149,21;
Петрозаводск;1;0,00000456;103,33;
Калининград;1;0,00000265;60,04;
Псков;10;0,00005519;1 248,69;
Юг;35;0,00000382;86,64;
Нальчик;3;0,00001881;425,65;
Краснодар;10;0,00000705;159,69;
Ставрополь;1;0,00000198;45,00;
Волгоград;5;0,00000622;140,78;
Ростов-на-Дону;3;0,00000243;54,99;
Поволжье;75;0,00000404;91,60;
Йошкар-Ола;2;0,00000968;219,06;
Саранск;2;0,00000822;186,13;
Казань;8;0,00000724;163,94;
Ижевск;2;0,00000370;83,89;
Чебоксары;2;0,00000451;102,05;
Киров;1;0,00000205;46,57;
Нижний Новгород;3;0,00000186;42,28;
Оренбург;1;0,00000195;44,18;
Пенза;12;0,00002554;578,02;
Пермь;3;0,00000350;79,34;
Самара;7;0,00000702;158,86;
Урал;25;0,00000291;66,03;
Екатеринбург;10;0,00000548;124,06;
Тюмень;3;0,00000378;85,67;
Челябинск;3;0,00000294;66,60;
Сибирь;35;0,00000333;75,45;
Красноярск;8;0,00000808;183,01;
Иркутск;4;0,00000665;150,60;
Кемерово;1;0,00000233;52,85;
Новосибирск;5;0,00000316;71,68;
Томск;2;0,00000536;121,42;
Дальний Восток;10;0,00000262;59,49;
Якутск;4;0,00002214;501,08;
Хабаровск;2;0,00000498;112,74;
Южно-Сахалинск;2;0,00001526;345,36;
Европа;2;0,00000281;63,72;
Нидерланды;1;0,00000940;212,74;
Китай;3;0,00003473;785,78;
Симферополь;2;0,00000505;114,46;
Беларусь;6;0,00000242;54,92;
Минск;6;0,00000752;170,25;
Казахстан;12;0,00000708;160,23;
Алматы;4;0,00001170;264,92;
Астана;2;0,00000850;192,31;
СНГ (исключая Россию);28;0,00000577;130,65;
Армения;2;0,00002953;668,31;
Уфа;3;0,00000308;69,70;
Азия;4;0,00001050;237,73;
Владимир;1;0,00000261;59,08;
Воронеж;1;0,00000103;23,49;
Саратов;1;0,00000127;28,78;
Ульяновск;3;0,00000624;141,28;
Барнаул;3;0,00000539;122,09;
Улан-Удэ;1;0,00000340;77,09;
Кыргызстан;3;0,00002102;475,68;
Таджикистан;1;0,00000595;134,66;
Москва;79;0,00000662;149,91;
Долгопрудный;5;0,00003999;904,78;
Россия;444;0,00000451;101,18;
Сочи;2;0,00000428;96,95;
Тольятти;1;0,00000241;54,71;
Севастополь;2;0,00000550;124,49;
Новороссийск;1;0,00000523;118,43;
Сургут;4;0,00001344;304,19;
Республика Крым;4;0,00000246;55,78;
Таиланд;1;0,00003048;689,63;
Элиста;1;0,00001316;297,77;
Анапа;3;0,00002585;584,91;
Хорватия;1;0,00060987;13 798,19;
Санкт-Петербург и Ленинградская область;54;0,00000768;173,83;
Ереван;2;0,00004743;1 073,22;
Талдыкорган;1;0,00005863;1 326,58;
Бишкек;3;0,00003774;853,88;
Белгородская область;3;0,00000273;61,97;
Владимирская область;6;0,00000586;132,78;
Воронежская область;3;0,00000178;40,40;
Ивановская область;1;0,00000155;35,26;
Калужская область;2;0,00000242;54,76;
Курская область;2;0,00000251;56,88;
