Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «учеба за границей» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;1 163;0,0000580;143,09;
Санкт-Петербург;273;0,0000504;124,28;
Центр;1 522;0,0000455;112,26;
Белгород;6;0,0000159;39,18;
Иваново;16;0,0000453;111,81;
Калуга;15;0,0000385;94,97;
Кострома;8;0,0000326;80,57;
Курск;7;0,0000146;36,09;
Липецк;7;0,0000158;39,02;
Орёл;2;0,0000066;16,29;
Рязань;14;0,0000259;63,89;
Смоленск;7;0,0000310;76,43;
Тамбов;3;0,0000106;26,23;
Тверь;26;0,0000626;154,44;
Тула;13;0,0000254;62,63;
Ярославль;15;0,0000407;100,48;
Северо-Запад;486;0,0000433;106,73;
Петрозаводск;28;0,0001278;315,12;
Сыктывкар;6;0,0000300;74,02;
Архангельск;34;0,0001264;311,65;
Вологда;4;0,0000129;31,96;
Калининград;13;0,0000345;85,01;
Мурманск;17;0,0000730;179,97;
Великий Новгород;3;0,0000143;35,28;
Псков;1;0,0000055;13,60;
Юг;347;0,0000379;93,55;
Махачкала;7;0,0000240;59,23;
Нальчик;4;0,0000250;61,81;
Владикавказ;2;0,0000143;35,38;
Краснодар;73;0,0000515;126,97;
Ставрополь;18;0,0000358;88,22;
Астрахань;19;0,0000581;143,20;
Волгоград;35;0,0000435;107,34;
Ростов-на-Дону;44;0,0000356;87,85;
Поволжье;662;0,0000357;88,06;
Йошкар-Ола;2;0,0000096;23,86;
Саранск;3;0,0000123;30,41;
Казань;62;0,0000561;138,38;
Ижевск;30;0,0000556;137,06;
Чебоксары;38;0,0000857;211,19;
Киров;31;0,0000638;157,27;
Нижний Новгород;56;0,0000348;85,96;
Оренбург;4;0,0000078;19,24;
Пенза;10;0,0000212;52,46;
Пермь;37;0,0000432;106,58;
Самара;24;0,0000240;59,32;
Урал;281;0,0000328;80,84;
Курган;2;0,0000090;22,28;
Екатеринбург;69;0,0000378;93,23;
Тюмень;40;0,0000504;124,41;
Челябинск;56;0,0000549;135,42;
Ханты-Мансийск;3;0,0000229;56,66;
Сибирь;376;0,0000358;88,28;
Красноярск;37;0,0000374;92,19;
Иркутск;36;0,0000599;147,63;
Кемерово;13;0,0000303;74,83;
Новосибирск;54;0,0000342;84,31;
Омск;34;0,0000404;99,77;
