Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «юриспруденция за рубежом» по регионам, 25.04.2026 — 25.05.2026, все устройства
Москва и область;14;0,00000069;210,86;
Санкт-Петербург;3;0,00000055;167,19;
Центр;15;0,00000044;135,44;
Северо-Запад;5;0,00000044;134,42;
Поволжье;3;0,00000016;48,85;
Казань;1;0,00000090;273,23;
Пенза;2;0,00000425;1 284,51;
Урал;2;0,00000023;70,43;
Тюмень;1;0,00000126;380,77;
Сибирь;3;0,00000028;86,23;
Чита;2;0,00000717;2 165,37;
Дальний Восток;4;0,00000105;317,32;
Казахстан;2;0,00000118;356,07;
Алматы;2;0,00000585;1 766,19;
СНГ (исключая Россию);4;0,00000082;248,86;
Барнаул;1;0,00000179;542,63;
Москва;12;0,00000100;303,62;
Россия;32;0,00000032;98,11;
Санкт-Петербург и Ленинградская область;4;0,00000056;171,69;
Воронежская область;1;0,00000059;179,57;
Балашиха;1;0,00000212;640,00;
Мытищи;1;0,00000364;1 099,95;
Архангельская область;1;0,00000156;471,03;
Луга;1;0,00004286;12 930,36;
Пензенская область;2;0,00000250;757,16;
Республика Татарстан;1;0,00000041;124,12;
Свердловская область;1;0,00000029;89,35;
Первоуральск;1;0,00001262;3 807,83;
Тюменская область;1;0,00000085;257,66;
Алтайский край;1;0,00000080;244,02;
Красноярский край;2;0,00000107;323,00;
Забайкальский край;4;0,00000766;2 312,99;
Южная Осетия;2;0,00018588;56 074,98;
Алматы и область;2;0,00000485;1 464,95;
Мытищи (городской округ);1;0,00000274;827,10;
Лужский район;1;0,00002321;7 004,13;
